file_path,client,prompts,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\tests\experimental\__init__.py,0.0,0.0,0.48822131752967834,0.27366071939468384,0.0,1.8691623210906982,utilities,1.8691623210906982
fastmcp\examples\atproto_mcp\src\atproto_mcp\server.py,10.557393074035645,7.950556755065918,54.94681167602539,60.11696243286133,33.3521842956543,14.775343894958496,server,60.11696243286133
fastmcp\tests\deprecated\test_elicitation.py,65.49930572509766,5.336346626281738,10.467144012451172,3.958998680114746,31.433879852294922,12.051051139831543,client,65.49930572509766
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,65.34114837646484,10.608920097351074,65.47683715820312,59.65758514404297,33.1488037109375,29.002965927124023,resources,65.47683715820312
fastmcp\tests\resources\test_function_resources.py,13.604784965515137,7.260339736938477,139.93215942382812,6.061963081359863,6.569392204284668,17.622901916503906,resources,139.93215942382812
fastmcp\tests\server\auth\test_oauth_mounting.py,71.39542388916016,3.417123794555664,59.781646728515625,70.53668212890625,32.21193313598633,22.1607608795166,client,71.39542388916016
fastmcp\fastmcp_slim\fastmcp\client\progress.py,55.56770324707031,2.2259511947631836,3.6012237071990967,2.460369110107422,3.301884889602661,8.176945686340332,client,55.56770324707031
fastmcp\fastmcp_slim\fastmcp\dependencies.py,1.294554352760315,0.0,0.570044755935669,1.294554352760315,0.0,5.334484100341797,utilities,5.334484100341797
fastmcp\docs\apps\demos\data-table.py,14.488929748535156,2.9119369983673096,14.163775444030762,6.249241352081299,3.3366079330444336,7.02076530456543,client,14.488929748535156
fastmcp\examples\testing_demo\server.py,20.857099533081055,63.755462646484375,45.390464782714844,59.78523635864258,30.793344497680664,15.975566864013672,prompts,63.755462646484375
fastmcp\tests\utilities\openapi\test_schemas.py,61.677223205566406,48.54019546508789,27.38422966003418,5.437013626098633,18.206897735595703,93.9243392944336,utilities,93.9243392944336
fastmcp\examples\apps\sales_dashboard\sales_dashboard_server.py,19.01871109008789,10.170825004577637,21.4754581451416,62.269264221191406,31.836641311645508,17.137470245361328,server,62.269264221191406
fastmcp\examples\desktop.py,9.768736839294434,4.887216091156006,46.562618255615234,7.094152927398682,27.37903594970703,9.064976692199707,resources,46.562618255615234
fastmcp\tests\utilities\__init__.py,0.0,0.0,0.48822131752967834,0.27366071939468384,0.0,105.47888946533203,utilities,105.47888946533203
fastmcp\tests\server\tasks\test_task_security.py,78.93331909179688,3.9856672286987305,18.51283836364746,62.2469367980957,36.74173355102539,18.989364624023438,client,78.93331909179688
fastmcp\tests\server\middleware\test_rate_limiting.py,73.6732406616211,5.266048908233643,13.55377197265625,68.11631774902344,40.3026237487793,15.678356170654297,client,73.6732406616211
fastmcp\tests\utilities\test_async_utils.py,65.41192626953125,65.93855285644531,53.55594253540039,10.04035758972168,37.5340461730957,105.67489624023438,utilities,105.67489624023438
fastmcp\tests\tools\tool_transform\test_args.py,73.83411407470703,16.323007583618164,24.417255401611328,12.21696949005127,140.93836975097656,31.429994583129883,tools,140.93836975097656
fastmcp\tests\utilities\json_schema_type\test_formats.py,3.7575125694274902,5.204961776733398,50.713287353515625,4.58357048034668,2.7613096237182617,98.89920806884766,utilities,98.89920806884766
fastmcp\tests\server\test_dependencies_advanced.py,71.60592651367188,63.30549621582031,65.14802551269531,61.00735092163086,107.87220764160156,28.831592559814453,tools,107.87220764160156
fastmcp\fastmcp_slim\fastmcp\cli\install\shared.py,12.880329132080078,13.999046325683594,29.889057159423828,66.09345245361328,20.964326858520508,34.30915069580078,server,66.09345245361328
fastmcp\examples\diagnostics\client_with_tracing.py,68.56108856201172,155.4411163330078,144.4945068359375,65.9228744506836,104.03758239746094,31.06859016418457,prompts,155.4411163330078
fastmcp\tests\prompts\__init__.py,0.0,91.50273132324219,0.48822131752967834,2.536229133605957,0.0,4.131730556488037,prompts,91.50273132324219
fastmcp\tests\server\auth\test_cimd_validators.py,66.23223114013672,6.108922004699707,24.30597686767578,58.54646301269531,6.453973770141602,15.309538841247559,client,66.23223114013672
fastmcp\tests\server\test_tool_transformation.py,75.7645492553711,12.291898727416992,16.35065460205078,69.54783630371094,105.65608978271484,33.02060317993164,tools,105.65608978271484
fastmcp\examples\atproto_mcp\demo.py,85.10614013671875,20.453744888305664,121.60121154785156,67.03038024902344,100.07386016845703,43.450382232666016,resources,121.60121154785156
fastmcp\tests\resources\test_standalone_decorator.py,74.87197875976562,16.825702667236328,149.02293395996094,61.49052047729492,9.06495475769043,23.001344680786133,resources,149.02293395996094
fastmcp\tests\server\auth\oauth_proxy\__init__.py,1.5342172384262085,0.0,0.4868808388710022,51.928558349609375,1.2913912534713745,3.8925600051879883,server,51.928558349609375
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,93.57456970214844,95.93193054199219,107.7129898071289,90.73953247070312,101.73589324951172,69.4908676147461,resources,107.7129898071289
fastmcp\tests\server\test_logging.py,10.435181617736816,7.715847969055176,9.21238899230957,72.40860748291016,7.362186908721924,14.603242874145508,server,72.40860748291016
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,19.65125274658203,12.548059463500977,22.064239501953125,72.78604125976562,34.739498138427734,26.554080963134766,server,72.78604125976562
fastmcp\examples\apps\generative_ui.py,8.83452033996582,5.792601585388184,2.952667474746704,2.7620537281036377,3.820807456970215,7.698037147521973,client,8.83452033996582
fastmcp\tests\server\test_pagination.py,66.56554412841797,163.67037963867188,150.5403594970703,69.0255355834961,98.67371368408203,30.495798110961914,prompts,163.67037963867188
fastmcp\tests\tools\tool\__init__.py,0.0,0.0,0.7351086139678955,2.1390819549560547,82.0895767211914,5.599709987640381,tools,82.0895767211914
fastmcp\tests\tools\tool\test_output_schema.py,29.092771530151367,13.547723770141602,25.44057273864746,8.448467254638672,92.0457763671875,26.82979393005371,tools,92.0457763671875
fastmcp\examples\skills\server.py,10.637149810791016,6.173755645751953,9.362678527832031,58.17928695678711,18.784839630126953,10.585652351379395,server,58.17928695678711
fastmcp\tests\server\test_context.py,123.14954376220703,10.454837799072266,34.69825744628906,66.80011749267578,41.5279541015625,26.515024185180664,client,123.14954376220703
fastmcp\tests\client\telemetry\__init__.py,52.666873931884766,0.3770785629749298,0.48777368664741516,0.6504883766174316,0.3770785629749298,4.697938442230225,client,52.666873931884766
fastmcp\docs\apps\demos\hitchhikers.py,24.320627212524414,10.899248123168945,38.46146011352539,22.74846076965332,46.09332275390625,29.752166748046875,tools,46.09332275390625
fastmcp\fastmcp_slim\fastmcp\server\auth\handlers\authorize.py,92.2298355102539,12.270249366760254,24.198989868164062,70.08867645263672,38.50343704223633,30.822551727294922,client,92.2298355102539
fastmcp\tests\utilities\json_schema_type\test_real_world_schemas.py,15.280805587768555,18.357311248779297,36.45783615112305,9.741873741149902,24.166189193725586,125.44563293457031,utilities,125.44563293457031
fastmcp\fastmcp_slim\fastmcp\client\__init__.py,57.724891662597656,0.4622575640678406,1.6490890979766846,2.054377317428589,0.4622575640678406,18.72657012939453,client,57.724891662597656
fastmcp\tests\server\auth\providers\test_debug.py,58.135948181152344,3.175726890563965,5.164309501647949,51.946807861328125,13.980470657348633,12.048900604248047,client,58.135948181152344
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\huggingface.py,73.9928207397461,4.464427947998047,62.35102462768555,56.60322189331055,20.789953231811523,24.349294662475586,client,73.9928207397461
fastmcp\tests\integration_tests\auth\__init__.py,2.2224819660186768,0.0,0.5157448053359985,0.27315932512283325,0.0,6.1185808181762695,utilities,6.1185808181762695
fastmcp\fastmcp_slim\fastmcp\cli\cimd.py,73.11600494384766,10.097017288208008,19.36621856689453,11.286062240600586,23.92711067199707,114.78548431396484,utilities,114.78548431396484
fastmcp\fastmcp_slim\fastmcp\client\mixins\prompts.py,73.25919342041016,167.00180053710938,12.32959270477295,68.14602661132812,22.424884796142578,26.92643928527832,prompts,167.00180053710938
fastmcp\fastmcp_slim\fastmcp\client\transports\stdio.py,64.67268371582031,8.667366027832031,21.636333465576172,62.92388916015625,50.40868377685547,26.63564109802246,client,64.67268371582031
fastmcp\examples\auth\propelauth_oauth\client.py,64.51528930664062,6.139954090118408,4.100029468536377,59.26503372192383,99.94603729248047,12.531500816345215,tools,99.94603729248047
fastmcp\tests\contrib\test_bulk_tool_caller.py,5.480400085449219,0.20941293239593506,5.656940937042236,57.64617156982422,107.01642608642578,16.325532913208008,tools,107.01642608642578
fastmcp\fastmcp_slim\fastmcp\cli\install\stdio.py,15.733475685119629,13.173460006713867,16.254486083984375,68.90343475341797,34.70797348022461,25.120338439941406,server,68.90343475341797
fastmcp\tests\resources\test_file_resources.py,7.975505352020264,7.859282493591309,143.71217346191406,5.638834476470947,6.262167453765869,14.0693941116333,resources,143.71217346191406
fastmcp\examples\auth\azure_oauth\client.py,64.38863372802734,6.19025993347168,3.5737998485565186,58.951881408691406,97.66873168945312,12.237549781799316,tools,97.66873168945312
fastmcp\tests\contrib\__init__.py,0.0,0.0,0.48822131752967834,0.27366071939468384,2.053778648376465,1.8691623210906982,tools,2.053778648376465
fastmcp\tests\server\test_server.py,73.33684539794922,172.90380859375,156.75521850585938,69.59635925292969,104.72081756591797,38.67313003540039,prompts,172.90380859375
fastmcp\examples\code_mode\server.py,15.349088668823242,11.683015823364258,16.943117141723633,62.02867889404297,37.75341033935547,14.464984893798828,server,62.02867889404297
fastmcp\fastmcp_slim\fastmcp\server\auth\oauth_proxy\__init__.py,2.8990895748138428,0.0,0.8879520893096924,54.73063278198242,1.3281452655792236,4.3746562004089355,server,54.73063278198242
fastmcp\examples\apps\chart_server.py,21.80756950378418,11.764371871948242,10.873726844787598,67.27037048339844,45.89961624145508,11.288540840148926,server,67.27037048339844
fastmcp\tests\server\http\test_session_idle_timeout.py,75.11500549316406,3.323948621749878,9.369795799255371,62.265037536621094,66.40660095214844,17.423582077026367,client,75.11500549316406
fastmcp\tests\conformance\test_conformance.py,21.516321182250977,10.41747760772705,21.22374725341797,65.4648208618164,13.856244087219238,22.48000717163086,server,65.4648208618164
