file_path,dsp,feature,general,mir,best_module,best_likelihood
audioFlux\include\mir\onset_algorithm.h,3.506044626235962,1.5970875024795532,5.572125434875488,87.37125396728516,mir,87.37125396728516
audioFlux\src\vector\flux_vectorInt.c,0.0,0.0,0.5233956575393677,15.316396713256836,mir,15.316396713256836
audioFlux\src\filterbank\cwt_filterBank.h,1.0,6.926858425140381,1.0,0.9357401132583618,feature,6.926858425140381
audioFlux\include\mir\harmonicRatio_algorithm.h,3.5196621417999268,2.0,5.614430904388428,71.54415893554688,mir,71.54415893554688
audioFlux\include\dsp\conv_algorithm.h,95.78526306152344,6.232509136199951,12.758633613586426,3.9221384525299072,dsp,95.78526306152344
audioFlux\src\classic\trist.c,2.0,1.0,4.304530143737793,20.11858367919922,mir,20.11858367919922
audioFlux\src\pwt_algorithm.h,2.5760254859924316,6.0,3.0880484580993652,0.5120227336883545,feature,6.0
audioFlux\include\swt_algorithm.h,3.5220704078674316,2.0,5.621912956237793,1.4640625715255737,general,5.621912956237793
audioFlux\src\wsst_algorithm.c,2.349907159805298,6.823079586029053,3.9817421436309814,26.475194931030273,mir,26.475194931030273
audioFlux\src\mir\_pitch_yin.c,15.798737525939941,3.0524678230285645,0.8695691227912903,88.50785064697266,mir,88.50785064697266
audioFlux\include\mir\_pitch_lhs.h,2.0,3.5834200382232666,3.6294593811035156,78.77287292480469,mir,78.77287292480469
audioFlux\src\filterbank\auditory_filterBank.h,1.0,5.0,1.9720412492752075,20.791940689086914,mir,20.791940689086914
audioFlux\src\vector\flux_complex.c,13.240583419799805,2.4372525215148926,4.566694259643555,34.14344024658203,mir,34.14344024658203
audioFlux\src\mir\_pitch_lhs.h,0.0,2.7268788814544678,0.0,82.25028228759766,mir,82.25028228759766
audioFlux\src\bft_algorithm.c,27.15057945251465,18.203001022338867,8.670025825500488,12.905275344848633,dsp,27.15057945251465
audioFlux\src\mir\_pitch_pef.h,0.0,3.1519627571105957,0.0,79.9774169921875,mir,79.9774169921875
audioFlux\src\mir\_pitch_stft.c,11.092169761657715,38.33606719970703,2.4394519329071045,97.2881088256836,mir,97.2881088256836
audioFlux\src\mir\_pitch_ffp.c,102.45991516113281,9.046844482421875,2.932614326477051,82.8030014038086,dsp,102.45991516113281
audioFlux\src\mir\_pitch_ncf.c,0.0,4.900334358215332,0.5652623176574707,67.22957611083984,mir,67.22957611083984
audioFlux\src\mir\timeStretch_algorithm.c,4.320995330810547,5.46975040435791,2.4843955039978027,70.76396942138672,mir,70.76396942138672
audioFlux\include\spectrogram_algorithm.h,8.432794570922852,32.79874038696289,11.491947174072266,36.507930755615234,mir,36.507930755615234
audioFlux\src\synsq_algorithm.c,2.3815078735351562,5.0,4.057972431182861,26.995773315429688,mir,26.995773315429688
audioFlux\include\dsp\czt_algorithm.h,94.93966674804688,1.0,5.623167037963867,1.464421272277832,dsp,94.93966674804688
audioFlux\src\mir\harmonic_algorithm.c,71.67210388183594,2.275963068008423,3.658259630203247,79.10934448242188,mir,79.10934448242188
audioFlux\include\cepstrogram_algorithm.h,3.513737201690674,8.800813674926758,5.596024513244629,1.4566553831100464,feature,8.800813674926758
audioFlux\src\mir\harmonicRatio_algorithm.c,1.3815077543258667,1.0,2.8655483722686768,75.1872329711914,mir,75.1872329711914
audioFlux\src\temporal_algorithm.h,1.5160908699035645,9.431574821472168,1.974838376045227,11.410377502441406,mir,11.410377502441406
audioFlux\include\feature\deconv_algorithm.h,3.52166748046875,147.5862274169922,5.62066125869751,3.4637043476104736,feature,147.5862274169922
audioFlux\include\cwd_algorithm.h,3.523688316345215,2.0,5.62693977355957,1.465500831604004,general,5.62693977355957
audioFlux\src\wpt_algorithm.h,1.5224740505218506,1.0,1.9868953227996826,0.4644213020801544,general,1.9868953227996826
audioFlux\src\stft_algorithm.c,17.40302848815918,2.0248618125915527,3.573824405670166,33.4025993347168,mir,33.4025993347168
audioFlux\src\classic\nmf.h,2.0,1.706138014793396,4.474573135375977,1.940842866897583,general,4.474573135375977
