file_path,Apps,FSESL,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,0.12929424558367048,3157.0637130737305,3301.222686767578,0.0,0.0,0.1854621750967843,FreeSWITCH,3301.222686767578
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,0.38880440848214287,0.04658564840044294,0.23164473942347935,0.0,0.05242470673152379,0.1016941751752581,Apps,0.38880440848214287
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,0.32455357142857144,0.0056669967515128,0.11838836669921875,0.0,0.04391629695892334,0.036088180541992185,Apps,0.32455357142857144
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,0.2752648217337472,2569.1218185424805,3662.212791442871,0.0,0.0,0.12812042236328125,FreeSWITCH,3662.212791442871
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,0.41310550144740515,0.022449346951075963,0.09015608515058245,0.0,0.0,0.053021597862243655,Apps,0.41310550144740515
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.31054352351597375,2667.2292709350586,3449.1726684570312,0.0,0.0,0.19419230052403041,FreeSWITCH,3449.1726684570312
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,0.33969266074044363,0.00583761419568743,0.06137610163007464,0.0,0.052315262385777064,0.03631448745727539,Apps,0.33969266074044363
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,0.445874377659389,0.09436061041695731,0.061712700980050224,0.0,0.052630553926740375,0.21305193219866073,Apps,0.445874377659389
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,0.44956035614013673,0.0952531269618443,0.06176608630589076,0.0,0.052775607790265765,0.21479054859706334,Apps,0.44956035614013673
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,0.6001833779471261,0.005305199112210955,0.2475282669067383,0.024046111106872558,0.08607138225010463,0.09774906294686454,Apps,0.6001833779471261
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,0.15046956198556083,0.0,0.09277362823486328,0.0,0.051754324776785716,0.03062084402356829,Apps,0.15046956198556083
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,0.5062838963099888,2026.0075187683105,3128.063316345215,0.0318687983921596,0.06180518014090402,0.35929530007498606,FreeSWITCH,3128.063316345215
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,0.3118547167096819,2630.7509994506836,3617.221908569336,0.0,0.0,0.13049259185791015,FreeSWITCH,3617.221908569336
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,0.30733917781284875,2698.938674926758,3707.929458618164,0.0,0.0,0.13307134083339145,FreeSWITCH,3707.929458618164
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,0.6376228877476283,2815.264434814453,3494.623908996582,0.0,0.0912001473563058,0.20904654094151087,FreeSWITCH,3494.623908996582
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\EndMeeting.java,0.3222814014979771,0.005403768164770944,0.0610494749886649,0.0,0.05204082216535296,0.03573903015681675,Apps,0.3222814014979771
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,0.6426036834716797,2841.3859939575195,3515.8900833129883,0.0,0.09188728332519532,0.2106810978480748,FreeSWITCH,3515.8900833129883
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\Util.java,0.293165397644043,0.004288308961050851,0.060201379231044225,2.1730422973632812,0.05227971076965332,0.03425947598048619,Presentation Conversion,2.1730422973632812
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\StopSoundCommand.java,0.33395320347377233,2652.701301574707,3679.043083190918,0.0,0.0,0.13132776532854354,FreeSWITCH,3679.043083190918
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\AbstractOutboundPipelineFactory.java,0.1234241213117327,2992.7579498291016,3190.667152404785,0.0,0.0,0.2517117091587612,FreeSWITCH,3190.667152404785
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\validator\PostChecksumValidator.java,0.31661837441580637,0.005403768164770944,0.1556699071611677,0.02431018352508545,0.0,0.09886022976466588,Apps,0.31661837441580637
bigbluebutton\bbb-recording-imex\src\test\java\org\bigbluebutton\RecordingImportHandlerTest.java,0.16427877971104213,0.007992144141878401,0.11519804000854492,0.0,0.036512838091169085,0.03841332708086286,Apps,0.16427877971104213
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingDestroyed.java,0.44956035614013673,0.0952531269618443,0.06176608630589076,0.0,0.052775607790265765,0.21479054859706334,Apps,0.44956035614013673
