Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
celery,0.7619,0.7977,0.7794,0.7619,0.7977,0.7794,0.7619,0.7977,0.7794,0.7619,0.7977,0.7794,0.7619,0.7977,0.7794,0.7629,0.7977,0.7799,0.7707,0.7962,0.7833,0.7864,0.7850,0.7857,0.8454,0.6879,0.7586
fastmcp,0.7276,0.8341,0.7772,0.7276,0.8341,0.7772,0.7276,0.8341,0.7772,0.7276,0.8341,0.7772,0.7348,0.8341,0.7813,0.7348,0.8341,0.7813,0.7348,0.8341,0.7813,0.7558,0.8235,0.7882,0.7995,0.7014,0.7472
lerobot,0.7234,0.8263,0.7714,0.7234,0.8263,0.7714,0.7234,0.8263,0.7714,0.7234,0.8263,0.7714,0.7224,0.8210,0.7686,0.7262,0.8210,0.7707,0.7311,0.8065,0.7669,0.7772,0.7940,0.7855,0.8624,0.6848,0.7634
qlib,0.5118,0.5026,0.5072,0.5118,0.5026,0.5072,0.5118,0.5026,0.5072,0.5118,0.5026,0.5072,0.5134,0.5016,0.5074,0.5200,0.4938,0.5066,0.5321,0.4801,0.5048,0.5404,0.4491,0.4905,0.6495,0.3144,0.4237
