Precision
Project,10,20,30,40,50,60,70,80,90
celery,0.2203,0.2459,0.2419,0.2419,0.2419,0.2381,0.2500,0.2268,0.2018
fastmcp,1.0000,1.0000,1.0000,1.0000,0.6667,0.6667,0.6667,0.4286,0.2308
lerobot,0.5000,0.6000,0.6000,0.6000,0.5000,0.4615,0.3529,0.3793,0.2879
qlib,0.1212,0.1235,0.1235,0.1176,0.1183,0.1250,0.1243,0.1111,0.0886

Recall
Project,10,20,30,40,50,60,70,80,90
celery,0.1368,0.1579,0.1579,0.1579,0.1579,0.1579,0.1895,0.2316,0.4842
fastmcp,0.1333,0.1333,0.1333,0.1333,0.1333,0.1333,0.1333,0.2000,0.4000
lerobot,0.1250,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.3438,0.5938
qlib,0.1176,0.1471,0.1471,0.1471,0.1618,0.2206,0.3088,0.3971,0.7794

F1
Project,10,20,30,40,50,60,70,80,90
celery,0.1688,0.1923,0.1911,0.1911,0.1911,0.1899,0.2156,0.2292,0.2848
fastmcp,0.2353,0.2353,0.2353,0.2353,0.2222,0.2222,0.2222,0.2727,0.2927
lerobot,0.2000,0.2857,0.2857,0.2857,0.2727,0.2667,0.2449,0.3607,0.3878
qlib,0.1194,0.1342,0.1342,0.1307,0.1366,0.1596,0.1772,0.1736,0.1592
