Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
celery,0.2203,0.1368,0.1688,0.2459,0.1579,0.1923,0.2419,0.1579,0.1911,0.2419,0.1579,0.1911,0.2419,0.1579,0.1911,0.2381,0.1579,0.1899,0.2500,0.1895,0.2156,0.2268,0.2316,0.2292,0.2018,0.4842,0.2848
fastmcp,1.0000,0.1333,0.2353,1.0000,0.1333,0.2353,1.0000,0.1333,0.2353,1.0000,0.1333,0.2353,0.6667,0.1333,0.2222,0.6667,0.1333,0.2222,0.6667,0.1333,0.2222,0.4286,0.2000,0.2727,0.2308,0.4000,0.2927
lerobot,0.5000,0.1250,0.2000,0.6000,0.1875,0.2857,0.6000,0.1875,0.2857,0.6000,0.1875,0.2857,0.5000,0.1875,0.2727,0.4615,0.1875,0.2667,0.3529,0.1875,0.2449,0.3793,0.3438,0.3607,0.2879,0.5938,0.3878
qlib,0.1212,0.1176,0.1194,0.1235,0.1471,0.1342,0.1235,0.1471,0.1342,0.1176,0.1471,0.1307,0.1183,0.1618,0.1366,0.1250,0.2206,0.1596,0.1243,0.3088,0.1772,0.1111,0.3971,0.1736,0.0886,0.7794,0.1592
