file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\IndependentMultimodal.cpp,97.29081726074219,11.748023986816406,11.225815773010254,6.695381164550781,7.383176326751709,16.42754554748535,7.383176326751709,4.236551761627197,5.323052406311035,3.175133228302002,7.383176326751709,5.382658004760742,7.60844612121582,13.743410110473633,IMBS,97.29081726074219
bgslibrary\bgslibrary\algorithms\T2F\T2FMRF.cpp,11.072936058044434,13.288459777832031,53.63157272338867,6.764498233795166,9.937122344970703,28.99068260192871,6.832686424255371,237.37118530273438,5.151255130767822,14.514771461486816,6.832686424255371,136.07522583007812,74.5905532836914,14.293440818786621,T2F,237.37118530273438
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.h,1.1495789289474487,7.703390121459961,31.04349708557129,2.3178551197052,1.1495789289474487,8.597301483154297,1.1495789289474487,20.678916931152344,3.3010053634643555,1.1495789289474487,1.1495789289474487,1.383804440498352,103.38436126708984,3.7787532806396484,lb,103.38436126708984
bgslibrary\bgslibrary\algorithms\LBAdaptiveSOM.cpp,20.726367950439453,11.401039123535156,30.1646671295166,6.555893421173096,7.236205101013184,15.09117603302002,7.236205101013184,4.141063690185547,5.261493682861328,16.946428298950195,7.236205101013184,5.278403282165527,93.92203521728516,15.475825309753418,lb,93.92203521728516
bgslibrary\bgslibrary\algorithms\LBP_MRF.h,18.77338409423828,0.3539496064186096,154.69113159179688,46.85436248779297,6.1233344078063965,26.112695693969727,3.632801055908203,26.136964797973633,3.2863481044769287,1.1422677040100098,3.632801055908203,1.3225383758544922,72.99356079101562,11.324224472045898,LBP_MRF,154.69113159179688
bgslibrary\bgslibrary\algorithms\TwoPoints.cpp,19.272916793823242,8.829209327697754,12.216695785522461,6.734636306762695,5.547502040863037,19.024627685546875,2.4551095962524414,3.2716176509857178,149.82176208496094,2.4551095962524414,2.4551095962524414,6.168497562408447,5.922176837921143,14.911063194274902,TwoPoints,149.82176208496094
bgslibrary\gui\mfc\src\targetver.h,0.0,0.0,10.864252090454102,0.0,0.0,0.0,0.0,0.30178481340408325,1.0015614032745361,0.0,0.0,0.0,1.1138421297073364,0.0,LBP_MRF,10.864252090454102
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,1.1294318437576294,0.0,0.0,2.2750425338745117,102.06350708007812,0.0,1.1294318437576294,0.0,3.2606334686279297,1.1294318437576294,1.1294318437576294,1.1294318437576294,1.1456108093261719,3.4044742584228516,MultiLayer,102.06350708007812
bgslibrary\bgslibrary\algorithms\LBSP\LBSP_.cpp,7.143692970275879,14.674018859863281,50.76559829711914,105.576416015625,1.0719395875930786,1.6497161388397217,1.4238454103469849,24.307575225830078,3.496858835220337,18.028987884521484,1.4238454103469849,2.2577059268951416,40.73379898071289,13.161178588867188,LBSP,105.576416015625
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.h,2.4636433124542236,4.0,40.920021057128906,109.0758285522461,3.133233070373535,4.193336009979248,5.43697452545166,2.173863649368286,4.598606586456299,18.54115104675293,3.4636433124542236,3.3070967197418213,76.39901733398438,11.964620590209961,LBSP,109.0758285522461
bgslibrary\bgslibrary\tools\PerformanceUtils.h,0.3469339907169342,0.0,0.0,1.0,0.0,1.3469339609146118,0.3469339907169342,0.0,1.348725438117981,1.3469339609146118,1.3469339609146118,0.0,1.040802001953125,0.0,TwoPoints,1.348725438117981
bgslibrary\bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,9.805217742919922,13.155160903930664,13.513429641723633,2.737574815750122,93.89344024658203,0.0,1.1134250164031982,0.37537306547164917,6.035353660583496,1.1134250164031982,1.1134250164031982,1.3052891492843628,5.0237135887146,10.566246032714844,MultiLayer,93.89344024658203
bgslibrary\bgslibrary\algorithms\DPPratiMediod.h,20.011249542236328,0.39493048191070557,6.981085300445557,2.669849157333374,1.1513776779174805,24.637407302856445,1.1513776779174805,0.1829487532377243,3.3046209812164307,1.1513776779174805,1.1513776779174805,93.44795989990234,1.5361974239349365,13.463692665100098,dp,93.44795989990234
bgslibrary\bgslibrary\algorithms\dp\BgsParams.h,1.1532201766967773,0.0,0.0,2.3255929946899414,1.1532201766967773,0.0,1.1532201766967773,0.0,3.3083245754241943,17.346881866455078,1.1532201766967773,89.46519470214844,1.1723726987838745,3.4788131713867188,dp,89.46519470214844
bgslibrary\bgslibrary\algorithms\PAWCS.h,19.64125633239746,4.356554985046387,34.25585174560547,97.8768310546875,3.1428732872009277,21.826684951782227,3.1428732872009277,2.175719976425171,4.287564754486084,2.1428732872009277,3.1428732872009277,4.310412406921387,41.51217269897461,12.171034812927246,LBSP,97.8768310546875
bgslibrary\bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,3.0394105911254883,7.562860012054443,17.669282913208008,6.097407817840576,4.930125713348389,16.178701400756836,4.930125713348389,3.7814300060272217,5.189944744110107,3.0394105911254883,4.930125713348389,96.03048706054688,10.758753776550293,17.70234489440918,dp,96.03048706054688
bgslibrary\bgslibrary\algorithms\dp\PratiMediodBGS.h,3.5164029598236084,8.066642761230469,17.632129669189453,6.338485240936279,5.1769280433654785,22.274028778076172,5.533063888549805,4.033321380615234,5.6617960929870605,17.971220016479492,5.533063888549805,93.52760314941406,11.6392240524292,17.876001358032227,dp,93.52760314941406
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.h,2.402507781982422,4.0,40.839500427246094,95.509765625,3.1325316429138184,2.2699761390686035,3.402507781982422,2.31286358833313,4.5367631912231445,18.457380294799805,3.402507781982422,3.4453952312469482,42.584754943847656,16.36438751220703,LBSP,95.509765625
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobResult.cpp,1.3449777364730835,0.0,0.0,23.78622055053711,90.67330932617188,1.7852133512496948,1.3449777364730835,31.487701416015625,5.359778881072998,8.39867115020752,1.3449777364730835,6.523067951202393,5.648380756378174,12.847065925598145,MultiLayer,90.67330932617188
bgslibrary\bgslibrary\algorithms\DPZivkovicAGMM.cpp,20.52645492553711,11.342354774475098,10.763896942138672,6.5322723388671875,7.210853099822998,26.621353149414062,7.210853099822998,7.530455589294434,5.2509260177612305,16.788164138793945,7.210853099822998,48.06743240356445,53.547149658203125,15.41657543182373,lb,53.547149658203125
bgslibrary\bgslibrary\algorithms\KNN.h,21.20231819152832,23.345111846923828,7.020915985107422,4.677082061767578,3.152523994445801,24.26313591003418,3.152523994445801,2.183903932571411,5.174328804016113,2.152523994445801,3.152523994445801,3.336427927017212,4.539397716522217,12.558218955993652,PBAS,24.26313591003418
bgslibrary\bgslibrary\algorithms\SuBSENSE.h,19.609607696533203,4.355682373046875,34.18117904663086,98.24636840820312,3.1426706314086914,21.778152465820312,3.1426706314086914,2.1755447387695312,4.287158012390137,2.1426706314086914,3.1426706314086914,3.3182153701782227,41.511592864990234,12.16286563873291,LBSP,98.24636840820312
bgslibrary\bgslibrary\algorithms\VuMeter\TBackground.h,3.3505139350891113,7.351365089416504,0.0,5.976302623748779,4.817150592803955,4.046886920928955,5.188354969024658,3.675682544708252,5.49378776550293,3.3505139350891113,131.77845764160156,7.366885662078857,7.786287784576416,5.562259674072266,VuMeter,131.77845764160156
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.h,1.1549887657165527,90.9273452758789,0.0,2.3293511867523193,1.1549887657165527,0.0,1.1549887657165527,0.0,4.134918212890625,1.1549887657165527,1.1549887657165527,1.1549887657165527,1.1743624210357666,3.484339952468872,KDE,90.9273452758789
bgslibrary\bgslibrary\algorithms\SuBSENSE.cpp,19.650346755981445,11.04947566986084,50.038665771484375,117.7893295288086,7.082313060760498,15.602544784545898,8.930986404418945,4.1689677238464355,5.197624206542969,13.484700202941895,7.082313060760498,5.297441482543945,73.78365325927734,21.68675422668457,LBSP,117.7893295288086
bgslibrary\bgslibrary\algorithms\lb\Types.h,22.531288146972656,18.1254825592041,25.18519401550293,2.3197550773620605,1.15047287940979,0.3875640630722046,1.5380369424819946,1.7753002643585205,3.690366506576538,1.5380369424819946,1.5380369424819946,1.15047287940979,102.80510711669922,3.4702279567718506,lb,102.80510711669922
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.h,20.241073608398438,0.401477575302124,7.028943061828613,2.678548812866211,1.1527553796768188,26.08159637451172,1.1527553796768188,0.18409626185894012,3.3073902130126953,1.1527553796768188,1.1527553796768188,2.3368515968322754,1.5400422811508179,11.567453384399414,PBAS,26.08159637451172
