file_path,configs,datasets,environments,policies,utilities,best_module,best_likelihood
lerobot\examples\lekiwi\replay.py,18.40258026123047,41.22775650024414,3.4517996311187744,1.7426128387451172,6.274003982543945,datasets,41.22775650024414
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,18.03297996520996,9.826139450073242,4.479351997375488,1.528012752532959,4.102207660675049,configs,18.03297996520996
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,71.80022430419922,8.225966453552246,5.186056137084961,7.359611511230469,13.08913803100586,configs,71.80022430419922
lerobot\src\lerobot\envs\robomme.py,3.9366633892059326,45.54113006591797,5.948493957519531,4.891547679901123,9.62403678894043,datasets,45.54113006591797
lerobot\src\lerobot\async_inference\robot_client.py,29.929624557495117,13.144599914550781,89.22359466552734,20.78529167175293,18.918453216552734,environments,89.22359466552734
lerobot\tests\policies\pi0_pi05\test_pi05.py,28.335670471191406,47.90935516357422,8.433676719665527,97.82340240478516,11.493024826049805,policies,97.82340240478516
lerobot\src\lerobot\utils\robot_utils.py,1.7269936800003052,0.8029740452766418,2.4620070457458496,1.3317127227783203,3.041161298751831,utilities,3.041161298751831
lerobot\tests\policies\test_gaussian_actor_config.py,29.38930892944336,47.9336051940918,6.82076358795166,88.85801696777344,14.086532592773438,policies,88.85801696777344
lerobot\tests\policies\lingbot_va\test_modules.py,13.562092781066895,15.664796829223633,9.554764747619629,88.70869445800781,18.120328903198242,policies,88.70869445800781
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,31.548330307006836,48.567283630371094,10.171165466308594,94.675048828125,17.50070571899414,policies,94.675048828125
lerobot\src\lerobot\utils\io_utils.py,2.9434683322906494,16.31710433959961,0.0,4.87223482131958,8.330838203430176,datasets,16.31710433959961
lerobot\tests\policies\groot\test_groot_train_random_crop.py,16.31513786315918,9.350847244262695,4.6481757164001465,69.33789825439453,12.422355651855469,policies,69.33789825439453
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,34.90459442138672,57.0788688659668,12.278216361999512,89.44606018066406,20.399099349975586,policies,89.44606018066406
lerobot\src\lerobot\motors\robstride\robstride.py,9.460212707519531,20.16040802001953,9.642730712890625,12.200927734375,21.740623474121094,utilities,21.740623474121094
lerobot\examples\omx\record_grab.py,15.12635612487793,61.2741584777832,6.425093650817871,6.4654107093811035,14.825223922729492,datasets,61.2741584777832
lerobot\src\lerobot\configs\policies.py,87.31790924072266,24.9951171875,11.997754096984863,97.79095458984375,23.805633544921875,policies,97.79095458984375
lerobot\tests\processor\test_migration_detection.py,100.69943237304688,25.032180786132812,8.398948669433594,34.84123611450195,15.116470336914062,configs,100.69943237304688
lerobot\tests\policies\test_gaussian_actor_policy.py,33.46605682373047,97.68405151367188,10.767646789550781,73.87227630615234,18.893333435058594,datasets,97.68405151367188
lerobot\tests\fixtures\files.py,9.290907859802246,123.7160873413086,8.841203689575195,4.70330810546875,16.590328216552734,datasets,123.7160873413086
lerobot\tests\policies\pi0_pi05\test_pi0.py,27.823572158813477,46.8575325012207,8.204964637756348,91.38034057617188,10.426050186157227,policies,91.38034057617188
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,0.0,2.690154552459717,utilities,2.690154552459717
lerobot\tests\conftest.py,12.821624755859375,107.70132446289062,7.917137145996094,19.62493324279785,16.62674331665039,datasets,107.70132446289062
lerobot\tests\policies\vla_jepa\conftest.py,24.35517120361328,13.889029502868652,4.032509803771973,85.25443267822266,9.7365083694458,policies,85.25443267822266
lerobot\src\lerobot\robots\so_follower\so_follower.py,74.26286315917969,12.388113021850586,10.36733627319336,9.648704528808594,22.654664993286133,configs,74.26286315917969
lerobot\src\lerobot\robots\openarm_follower\__init__.py,0.0,0.0,0.8355967998504639,0.0,0.0,environments,0.8355967998504639
lerobot\tests\cameras\test_realsense.py,24.633338928222656,11.83023452758789,5.109004020690918,4.8327813148498535,10.431966781616211,configs,24.633338928222656
lerobot\tests\datasets\test_quantiles_dataset_integration.py,4.297060966491699,119.82103729248047,3.6067771911621094,3.5443382263183594,16.12413787841797,datasets,119.82103729248047
lerobot\tests\policies\test_relative_actions.py,5.275276184082031,107.20468139648438,5.857421398162842,76.25718688964844,14.275376319885254,datasets,107.20468139648438
lerobot\src\lerobot\teleoperators\homunculus\joints_translation.py,1.0888075828552246,0.6653868556022644,0.6653868556022644,2.853004217147827,1.3307737112045288,policies,2.853004217147827
lerobot\src\lerobot\teleoperators\keyboard\teleop_keyboard.py,24.27984046936035,9.629806518554688,70.23687744140625,6.023598670959473,16.239015579223633,environments,70.23687744140625
lerobot\src\lerobot\policies\xvla\action_hub.py,6.571846008300781,9.777896881103516,0.7512990832328796,72.71336364746094,10.527335166931152,policies,72.71336364746094
lerobot\tests\utils\test_hub.py,25.503530502319336,10.749166488647461,6.64207124710083,8.519305229187012,15.648138046264648,configs,25.503530502319336
lerobot\tests\policies\pi0_pi05\test_pi0_original_vs_lerobot.py,26.887502670288086,50.563697814941406,5.706238269805908,93.75001525878906,10.637202262878418,policies,93.75001525878906
lerobot\src\lerobot\robots\koch_follower\config_koch_follower.py,17.796689987182617,6.605860710144043,4.370565414428711,0.8643004298210144,3.604257345199585,configs,17.796689987182617
lerobot\src\lerobot\annotations\steerable_pipeline\config.py,18.05433464050293,15.333610534667969,6.375436782836914,9.038372993469238,11.679865837097168,configs,18.05433464050293
lerobot\src\lerobot\teleoperators\rebot_102_leader\rebot_102_leader.py,30.862850189208984,17.582181930541992,10.810481071472168,15.664263725280762,29.6040096282959,configs,30.862850189208984
lerobot\src\lerobot\processor\hil_processor.py,21.902116775512695,15.892325401306152,2.5577001571655273,15.870561599731445,10.83631420135498,configs,21.902116775512695
lerobot\src\lerobot\rl\queue.py,0.0,0.0,0.0,0.338919073343277,0.338919073343277,policies,0.338919073343277
lerobot\src\lerobot\processor\newline_task_processor.py,2.0,7.630058288574219,1.963993787765503,7.0,0.4381081461906433,datasets,7.630058288574219
lerobot\src\lerobot\policies\molmoact2\__init__.py,0.837745189666748,1.4778647422790527,0.837745189666748,78.678466796875,3.513899326324463,policies,78.678466796875
lerobot\src\lerobot\annotations\steerable_pipeline\validator.py,7.741255283355713,51.8818244934082,4.007361888885498,6.0970258712768555,14.327971458435059,datasets,51.8818244934082
lerobot\src\lerobot\teleoperators\homunculus\config_homunculus.py,15.815811157226562,5.311394214630127,0.0,0.912076473236084,1.7647799253463745,configs,15.815811157226562
lerobot\src\lerobot\cameras\zmq\camera_zmq.py,29.34913444519043,17.938467025756836,7.408895492553711,11.694490432739258,17.002574920654297,configs,29.34913444519043
lerobot\tests\mocks\mock_dynamixel.py,2.3877758979797363,10.390693664550781,4.416928291320801,15.315900802612305,6.971522331237793,policies,15.315900802612305
lerobot\src\lerobot\policies\multi_task_dit\__init__.py,1.6117091178894043,3.222353219985962,1.7424399852752686,78.58686065673828,4.284265518188477,policies,78.58686065673828
lerobot\tests\cameras\test_opencv.py,35.7302360534668,15.354557037353516,9.24172306060791,9.129035949707031,14.849722862243652,configs,35.7302360534668
lerobot\src\lerobot\policies\evo1\evo1_model.py,23.0783634185791,12.488848686218262,4.026733875274658,81.23481750488281,15.056153297424316,policies,81.23481750488281
lerobot\tests\datasets\test_dataset_metadata.py,28.183399200439453,131.0203857421875,13.90781021118164,7.41542387008667,26.46097183227539,datasets,131.0203857421875
lerobot\tests\processor\test_policy_robot_bridge.py,24.848581314086914,8.190386772155762,9.249004364013672,28.46091651916504,2.740841865539551,policies,28.46091651916504
lerobot\src\lerobot\__version__.py,0.0,0.0,0.0,0.0,1.0,utilities,1.0
lerobot\examples\lekiwi\evaluate.py,26.310976028442383,56.3236198425293,94.14173889160156,25.605262756347656,15.976351737976074,environments,94.14173889160156
lerobot\src\lerobot\annotations\steerable_pipeline\modules\general_vqa.py,28.32485008239746,47.82880401611328,9.4750337600708,8.557415962219238,26.618894577026367,datasets,47.82880401611328
lerobot\tests\configs\test_plugin_loading.py,74.32527160644531,9.218194961547852,4.293604850769043,11.328097343444824,9.165529251098633,configs,74.32527160644531
lerobot\tests\datasets\test_delta_timestamps.py,0.7354189157485962,102.02366638183594,3.9658944606781006,3.7607839107513428,5.820584297180176,datasets,102.02366638183594
lerobot\tests\processor\test_gaussian_actor_processor.py,26.975250244140625,28.26528549194336,6.69671630859375,23.54436683654785,7.656515598297119,datasets,28.26528549194336
lerobot\src\lerobot\scripts\lerobot_find_port.py,1.717899203300476,2.3653934001922607,2.062937021255493,0.0,6.454070091247559,utilities,6.454070091247559
lerobot\tests\policies\rtc\test_modeling_rtc.py,21.623960494995117,4.591691970825195,3.421626567840576,60.76604080200195,9.2415771484375,policies,60.76604080200195
lerobot\src\lerobot\robots\hope_jr\config_hope_jr.py,18.486385345458984,6.546655178070068,5.353237152099609,2.0937459468841553,5.965752601623535,configs,18.486385345458984
lerobot\tests\datasets\test_streaming_video_encoder.py,21.004310607910156,108.42447662353516,3.1388111114501953,3.8840348720550537,11.79513931274414,datasets,108.42447662353516
lerobot\examples\rtc\eval_dataset.py,47.681636810302734,62.610225677490234,20.20456314086914,37.080787658691406,27.539691925048828,datasets,62.610225677490234
lerobot\src\lerobot\rollout\inference\factory.py,24.868118286132812,46.66192626953125,7.470325946807861,20.27174949645996,5.482898712158203,datasets,46.66192626953125
lerobot\src\lerobot\policies\act\processor_act.py,25.09495735168457,40.27458953857422,3.419193983078003,101.65956115722656,6.169247150421143,policies,101.65956115722656
lerobot\src\lerobot\robots\robot.py,20.485633850097656,4.192661285400391,2.6801793575286865,2.4075722694396973,4.884967803955078,configs,20.485633850097656
lerobot\src\lerobot\rollout\strategies\core.py,31.849163055419922,60.45244216918945,9.433778762817383,24.24947166442871,28.88559341430664,datasets,60.45244216918945
