file_path,cli,prompts,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,34.8104362487793,16.092121124267578,57.319068908691406,68.5434341430664,21.244661331176758,113.47804260253906,utilities,113.47804260253906
fastmcp\tests\deprecated\test_elicitation.py,67.59224700927734,5.675782680511475,11.724649429321289,4.257303714752197,35.08778762817383,13.606766700744629,cli,67.59224700927734
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,71.78812408447266,10.435296058654785,65.629150390625,59.175235748291016,36.11811065673828,30.690340042114258,cli,71.78812408447266
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,123.83396911621094,13.03179931640625,34.256099700927734,74.08137512207031,22.281232833862305,123.71934509277344,cli,123.83396911621094
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,71.54940795898438,5.316617012023926,55.24135971069336,71.4002685546875,8.385919570922852,42.20143508911133,cli,71.54940795898438
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,101.82234954833984,0.7219865322113037,2.5569653511047363,58.13816452026367,2.9059321880340576,23.297344207763672,cli,101.82234954833984
fastmcp\examples\testing_demo\server.py,15.256220817565918,63.44625473022461,45.0939826965332,59.4113883972168,33.204498291015625,16.503379821777344,prompts,63.44625473022461
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,74.34403991699219,167.6378173828125,140.8185272216797,67.12812805175781,118.29629516601562,47.0611572265625,prompts,167.6378173828125
fastmcp\examples\desktop.py,9.617956161499023,5.039989471435547,46.11638259887695,7.125761985778809,29.692859649658203,9.164098739624023,resources,46.11638259887695
fastmcp\tests\cli\test_mcp_server_config_integration.py,129.32745361328125,10.037187576293945,73.13278198242188,66.64929962158203,37.3984260559082,39.91383361816406,cli,129.32745361328125
fastmcp\tests\server\middleware\test_rate_limiting.py,79.40919494628906,5.3293328285217285,14.60377025604248,68.70039367675781,44.285831451416016,16.885250091552734,cli,79.40919494628906
