file_path,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\IndependentMultimodal.cpp,11.408327102661133,10.840348243713379,6.558826446533203,7.239343643188477,15.11815357208252,7.239343643188477,4.1431050300598145,5.32125997543335,3.123555898666382,7.239343643188477,5.280628681182861,7.707828044891357,7.454891681671143,13.353293418884277,PBAS,15.11815357208252
bgslibrary\bgslibrary\algorithms\T2F\T2FMRF.cpp,14.314047813415527,54.350955963134766,6.789431571960449,9.995853424072266,29.30093765258789,6.869930744171143,241.0855712890625,5.201748371124268,14.748766899108887,6.869930744171143,137.94053649902344,7.409653186798096,75.55330657958984,14.451231956481934,T2F,241.0855712890625
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.h,7.127059459686279,28.957809448242188,2.2990827560424805,1.140744924545288,7.728540420532227,1.140744924545288,18.58930206298828,3.3430802822113037,1.140744924545288,1.140744924545288,1.3513017892837524,3.5801990032196045,99.47439575195312,3.7196879386901855,lb,99.47439575195312
bgslibrary\bgslibrary\algorithms\LBAdaptiveSOM.cpp,11.094727516174316,28.043378829956055,6.432526588439941,7.102386474609375,13.997481346130371,7.102386474609375,4.053945064544678,5.2609543800354,16.120872497558594,7.102386474609375,5.183557510375977,7.5813703536987305,89.27061462402344,15.100632667541504,lb,89.27061462402344
bgslibrary\bgslibrary\algorithms\LBP_MRF.h,0.4009403586387634,157.2265167236328,48.06901168823242,6.79500150680542,29.31392478942871,3.9738223552703857,26.79327964782715,3.3720834255218506,1.152643084526062,3.9738223552703857,1.339828372001648,3.6641950607299805,73.91608428955078,11.674352645874023,LBP_MRF,157.2265167236328
bgslibrary\bgslibrary\algorithms\TwoPoints.cpp,8.864837646484375,12.251612663269043,6.75822114944458,5.562859535217285,19.22156524658203,2.4604649543762207,3.2821991443634033,150.02407836914062,2.4604649543762207,2.4604649543762207,6.185863494873047,5.042679309844971,5.938827037811279,14.957348823547363,TwoPoints,150.02407836914062
bgslibrary\gui\mfc\src\targetver.h,0.0,10.882091522216797,0.0,0.0,0.0,0.0,0.30228033661842346,0.0,0.0,0.0,0.0,0.0,1.115671157836914,0.0,LBP_MRF,10.882091522216797
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,0.0,0.0,2.27549409866333,102.17198944091797,0.0,1.1296443939208984,0.0,3.31602144241333,1.1296443939208984,1.1296443939208984,1.1296443939208984,3.4051384925842285,1.1458498239517212,3.4051384925842285,MultiLayer,102.17198944091797
bgslibrary\bgslibrary\algorithms\LBSP\LBSP_.cpp,15.147369384765625,51.481197357177734,106.25442504882812,1.0774438381195068,1.6909881830215454,1.4365416765213013,24.742263793945312,3.547875165939331,18.094921112060547,1.4365416765213013,2.289000988006592,3.5351903438568115,40.798702239990234,13.503297805786133,LBSP,106.25442504882812
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.h,4.0,42.108890533447266,110.97537994384766,3.142958402633667,4.23528528213501,5.548924922943115,2.1807453632354736,4.703003883361816,18.871755599975586,3.4974865913391113,3.3237037658691406,5.627490043640137,77.83828735351562,12.269672393798828,LBSP,110.97537994384766
bgslibrary\bgslibrary\tools\PerformanceUtils.h,0.0,0.0,1.0,0.0,1.3481329679489136,0.3481329679489136,0.0,1.4095635414123535,1.3481329679489136,1.3481329679489136,0.0,1.0,1.0443987846374512,0.0,TwoPoints,1.4095635414123535
bgslibrary\bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,13.366661071777344,13.545164108276367,2.7494330406188965,94.82421112060547,0.0,1.1152485609054565,0.3762545585632324,6.116947174072266,1.1152485609054565,1.1152485609054565,1.3073722124099731,3.7184932231903076,5.038227558135986,10.589009284973145,MultiLayer,94.82421112060547
bgslibrary\bgslibrary\algorithms\DPPratiMediod.h,0.3529689311981201,6.652856826782227,2.6130106449127197,1.1420388221740723,22.558862686157227,1.1420388221740723,0.17499688267707825,3.3462343215942383,1.1420388221740723,1.1420388221740723,91.80233001708984,3.618868112564087,1.5097873210906982,12.987527847290039,dp,91.80233001708984
bgslibrary\bgslibrary\algorithms\dp\BgsParams.h,0.0,0.0,2.305239677429199,1.1436423063278198,0.0,1.1436423063278198,0.0,3.3501429557800293,16.78959083557129,1.1436423063278198,86.12303924560547,3.4488821029663086,1.161597490310669,3.4488821029663086,dp,86.12303924560547
bgslibrary\bgslibrary\algorithms\PAWCS.h,4.357824802398682,34.36445999145508,98.0711441040039,3.143167018890381,21.897293090820312,3.143167018890381,2.175973892211914,4.348984241485596,2.143167018890381,3.143167018890381,4.311859607696533,5.62337064743042,41.51301193237305,12.182886123657227,LBSP,98.0711441040039
bgslibrary\bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,7.194236755371094,17.080493927001953,5.893884181976318,4.7367730140686035,15.09866714477539,4.7367730140686035,3.597118377685547,5.138981342315674,2.938213586807251,4.7367730140686035,92.44690704345703,7.211994647979736,10.269392967224121,17.06041145324707,dp,92.44690704345703
bgslibrary\bgslibrary\algorithms\dp\PratiMediodBGS.h,7.9017863273620605,17.17724609375,6.238738536834717,5.086349964141846,20.643207550048828,5.422274112701416,3.9508931636810303,5.6415605545043945,17.081308364868164,5.422274112701416,90.42727661132812,7.553661823272705,11.2635498046875,17.55182456970215,dp,90.42727661132812
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.h,4.0,43.47618865966797,99.25032806396484,3.1414623260498047,2.3012166023254395,3.442678928375244,2.3307430744171143,4.646045684814453,18.77328109741211,3.442678928375244,3.472205638885498,5.631213188171387,42.724281311035156,17.01807975769043,LBSP,99.25032806396484
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobResult.cpp,0.0,0.0,24.29689598083496,91.89923858642578,1.8032926321029663,1.3529207706451416,31.817584991455078,5.4417195320129395,8.638437271118164,1.3529207706451416,6.560630798339844,10.269988059997559,5.747414588928223,13.06625747680664,MultiLayer,91.89923858642578
bgslibrary\bgslibrary\algorithms\DPZivkovicAGMM.cpp,11.094727516174316,10.472559928894043,6.432526588439941,7.102386474609375,25.516056060791016,7.102386474609375,7.416131496429443,5.2609543800354,16.120872497558594,7.102386474609375,47.88746643066406,7.5813703536987305,51.87562942504883,15.114968299865723,lb,51.87562942504883
bgslibrary\bgslibrary\algorithms\KNN.h,22.870635986328125,6.692882537841797,4.619688987731934,3.143167018890381,21.897293090820312,3.143167018890381,2.175973892211914,5.196611404418945,2.143167018890381,3.143167018890381,3.319140672683716,5.62337064743042,4.513010501861572,12.182886123657227,KDE,22.870635986328125
bgslibrary\bgslibrary\algorithms\SuBSENSE.h,4.357824802398682,34.36445999145508,98.57640075683594,3.143167018890381,21.897293090820312,3.143167018890381,2.175973892211914,4.348984241485596,2.143167018890381,3.143167018890381,3.319140672683716,5.62337064743042,41.51301193237305,12.182886123657227,LBSP,98.57640075683594
bgslibrary\bgslibrary\algorithms\VuMeter\TBackground.h,7.36983585357666,0.0,5.98675012588501,4.826956748962402,4.0571770668029785,5.199215888977051,3.68491792678833,5.560952186584473,3.3567569255828857,132.150634765625,7.382284164428711,8.679762840270996,7.803947925567627,5.570621490478516,VuMeter,132.150634765625
bgslibrary\bgslibrary\algorithms\KDE\KernelTable.h,87.5161361694336,0.0,2.3085179328918457,1.145184874534607,0.0,1.145184874534607,0.0,4.124879837036133,1.145184874534607,1.145184874534607,1.145184874534607,3.453702688217163,1.1633329391479492,3.453702688217163,KDE,87.5161361694336
bgslibrary\bgslibrary\algorithms\SuBSENSE.cpp,11.144547462463379,50.465843200683594,118.2896728515625,7.124398231506348,15.940510749816895,8.997913360595703,4.199655532836914,5.270610809326172,13.815975189208984,7.124398231506348,5.3305230140686035,7.608615875244141,74.36881256103516,22.03923797607422,LBSP,118.2896728515625
bgslibrary\bgslibrary\algorithms\lb\Types.h,17.36151123046875,23.680240631103516,2.300647735595703,1.1414813995361328,0.3712286353111267,1.5127099752426147,1.5931131839752197,3.716104030609131,1.5127099752426147,1.5127099752426147,1.1414813995361328,3.442129135131836,98.93973541259766,3.442129135131836,lb,98.93973541259766
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.h,0.3586473762989044,6.6996049880981445,2.620817184448242,1.1433566808700562,23.619218826293945,1.1433566808700562,0.17613771557807922,3.3494467735290527,1.1433566808700562,1.1433566808700562,2.3194944858551025,3.6241273880004883,1.5135517120361328,11.190539360046387,PBAS,23.619218826293945
