file_path,configs,environments,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\cameras\opencv\__init__.py,0.0,0.0,0.0,2.2950286865234375,0.0,robot_devices,2.2950286865234375
lerobot\examples\lekiwi\replay.py,18.0775089263916,3.418224811553955,1.728687047958374,39.692970275878906,6.1779351234436035,robot_devices,39.692970275878906
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,16.05984878540039,4.171632289886475,1.4389569759368896,48.190738677978516,3.6888952255249023,robot_devices,48.190738677978516
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,67.26725769042969,4.530284404754639,6.485819339752197,58.2678337097168,11.810100555419922,configs,67.26725769042969
lerobot\src\lerobot\envs\robomme.py,3.6156296730041504,5.37662935256958,4.181667327880859,0.6227632761001587,8.750075340270996,utilities,8.750075340270996
lerobot\src\lerobot\async_inference\robot_client.py,28.39067840576172,73.87355041503906,19.758026123046875,103.59265899658203,16.7310848236084,robot_devices,103.59265899658203
lerobot\tests\policies\pi0_pi05\test_pi05.py,27.89869499206543,7.977171897888184,93.61795043945312,34.36286544799805,10.997151374816895,policies,93.61795043945312
lerobot\src\lerobot\utils\robot_utils.py,1.5857216119766235,2.225213050842285,1.2028813362121582,41.5502815246582,2.8255746364593506,robot_devices,41.5502815246582
lerobot\src\lerobot\motors\dynamixel\__init__.py,0.0,0.0,0.0,2.6843740940093994,0.0,robot_devices,2.6843740940093994
lerobot\tests\policies\test_gaussian_actor_config.py,28.96978187561035,6.474318027496338,84.1634521484375,31.003198623657227,13.298957824707031,policies,84.1634521484375
lerobot\tests\policies\lingbot_va\test_modules.py,12.973118782043457,9.049164772033691,84.09819030761719,32.749053955078125,17.057390213012695,policies,84.09819030761719
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,25.946292877197266,8.958714485168457,84.20164489746094,9.212926864624023,15.480772972106934,policies,84.20164489746094
lerobot\src\lerobot\utils\io_utils.py,2.4598588943481445,0.0,3.944535493850708,0.6579917073249817,7.33957576751709,utilities,7.33957576751709
lerobot\tests\policies\groot\test_groot_train_random_crop.py,14.755352973937988,4.503273010253906,65.26642608642578,32.05575180053711,11.81987476348877,policies,65.26642608642578
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,32.895233154296875,11.1550874710083,82.6739501953125,56.38132858276367,18.453630447387695,policies,82.6739501953125
lerobot\src\lerobot\motors\robstride\robstride.py,8.209687232971191,8.25162410736084,10.195944786071777,26.949811935424805,19.21932029724121,robot_devices,26.949811935424805
lerobot\examples\omx\record_grab.py,12.709955215454102,5.9930195808410645,5.882153034210205,45.10506820678711,13.681384086608887,robot_devices,45.10506820678711
lerobot\src\lerobot\configs\policies.py,82.49571990966797,10.904885292053223,89.01297760009766,78.44607543945312,22.247013092041016,policies,89.01297760009766
lerobot\tests\processor\test_migration_detection.py,96.98582458496094,7.649497032165527,32.9671745300293,3.697080373764038,14.106427192687988,configs,96.98582458496094
lerobot\tests\policies\test_gaussian_actor_policy.py,32.204402923583984,9.681546211242676,68.52528381347656,2.249549150466919,17.073251724243164,policies,68.52528381347656
lerobot\tests\fixtures\files.py,8.532665252685547,8.35403823852539,4.155274868011475,3.5495212078094482,15.515464782714844,utilities,15.515464782714844
lerobot\tests\policies\pi0_pi05\test_pi0.py,27.471294403076172,7.876799583435059,88.31640625,35.081878662109375,10.103092193603516,policies,88.31640625
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,0.01284021232277155,2.4881529808044434,utilities,2.4881529808044434
lerobot\tests\conftest.py,11.744617462158203,7.214560508728027,17.72317123413086,37.675174713134766,15.108431816101074,robot_devices,37.675174713134766
lerobot\tests\policies\vla_jepa\conftest.py,23.504592895507812,3.6258716583251953,79.34517669677734,35.28178787231445,8.92606258392334,policies,79.34517669677734
lerobot\src\lerobot\robots\so_follower\so_follower.py,69.35176086425781,8.694091796875,8.56417179107666,60.97419738769531,20.20328140258789,configs,69.35176086425781
lerobot\src\lerobot\robots\openarm_follower\__init__.py,0.0,0.736594021320343,0.0,39.869468688964844,0.0,robot_devices,39.869468688964844
lerobot\tests\cameras\test_realsense.py,23.709312438964844,4.602942943572998,4.454161643981934,36.814979553222656,9.517542839050293,robot_devices,36.814979553222656
lerobot\tests\datasets\test_quantiles_dataset_integration.py,3.9660730361938477,3.2123332023620605,3.2544538974761963,3.579198122024536,14.470782279968262,utilities,14.470782279968262
lerobot\tests\policies\test_relative_actions.py,5.299744129180908,5.402666091918945,70.10523986816406,1.1331450939178467,13.046197891235352,policies,70.10523986816406
lerobot\src\lerobot\teleoperators\homunculus\joints_translation.py,0.9220970273017883,0.5456362962722778,2.681295871734619,0.5570449233055115,1.0912725925445557,policies,2.681295871734619
lerobot\src\lerobot\teleoperators\keyboard\teleop_keyboard.py,23.002275466918945,54.39049530029297,5.418381690979004,51.268768310546875,14.152438163757324,environments,54.39049530029297
lerobot\src\lerobot\policies\xvla\action_hub.py,6.402506351470947,0.6411842703819275,64.64289855957031,1.0278681516647339,9.424600601196289,policies,64.64289855957031
lerobot\tests\utils\test_hub.py,25.03710174560547,6.576072692871094,8.475568771362305,2.6064939498901367,15.504597663879395,configs,25.03710174560547
lerobot\tests\policies\pi0_pi05\test_pi0_original_vs_lerobot.py,25.555328369140625,5.162398338317871,87.82099151611328,35.79254150390625,9.696684837341309,policies,87.82099151611328
lerobot\src\lerobot\robots\koch_follower\config_koch_follower.py,15.535865783691406,3.9423811435699463,0.7545028924942017,43.57893753051758,3.146385908126831,robot_devices,43.57893753051758
lerobot\src\lerobot\annotations\steerable_pipeline\config.py,16.781959533691406,6.227207183837891,8.660019874572754,7.882373332977295,11.18265438079834,configs,16.781959533691406
lerobot\src\lerobot\teleoperators\rebot_102_leader\rebot_102_leader.py,29.269681930541992,9.259644508361816,13.134105682373047,62.58070755004883,25.838268280029297,robot_devices,62.58070755004883
lerobot\src\lerobot\processor\hil_processor.py,19.677536010742188,2.3103883266448975,14.182195663452148,37.77971649169922,9.051138877868652,robot_devices,37.77971649169922
lerobot\src\lerobot\rl\queue.py,0.0,0.0,0.29603105783462524,2.323124408721924,0.29603105783462524,robot_devices,2.323124408721924
lerobot\src\lerobot\processor\newline_task_processor.py,2.0,1.9500458240509033,7.0,0.012407099828124046,0.3772837519645691,policies,7.0
lerobot\src\lerobot\policies\molmoact2\__init__.py,0.7378369569778442,0.7378369569778442,73.58869934082031,0.4573209583759308,3.2140955924987793,policies,73.58869934082031
lerobot\src\lerobot\annotations\steerable_pipeline\validator.py,7.2207512855529785,3.6259593963623047,5.452843189239502,7.129217147827148,12.853198051452637,utilities,12.853198051452637
lerobot\src\lerobot\teleoperators\homunculus\config_homunculus.py,13.791120529174805,0.0,0.8265935778617859,0.012649265117943287,1.6212892532348633,configs,13.791120529174805
