file_path,backtest,contrib,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,5.218883514404297,9.695267677307129,10.774847030639648,6.802454948425293,15.373172760009766,6.345532417297363,107.81453704833984,15.37961483001709,22.187007904052734,tests,107.81453704833984
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,5.649245738983154,62.30741882324219,16.885969161987305,10.392236709594727,11.12266731262207,85.47206115722656,7.32025146484375,10.974434852600098,21.195772171020508,strategy,85.47206115722656
qlib\qlib\rl\reward.py,8.475139617919922,4.197549819946289,1.752588152885437,87.36031341552734,0.0,2.9482221603393555,1.0012303590774536,5.278863906860352,14.547369003295898,rl,87.36031341552734
qlib\tests\ops\test_special_ops.py,6.158468246459961,9.922706604003906,4.831445693969727,4.645816326141357,7.228592395782471,9.630163192749023,110.12387084960938,12.681365013122559,22.380538940429688,tests,110.12387084960938
qlib\qlib\contrib\model\pytorch_lstm.py,6.9362406730651855,72.45962524414062,100.48499298095703,39.63429641723633,44.72506332397461,24.37854766845703,79.68511199951172,76.6461181640625,54.55656433105469,model,100.48499298095703
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,7.851900100708008,31.795637130737305,68.91682434082031,10.639455795288086,11.154022216796875,13.823720932006836,17.68666648864746,22.178146362304688,132.28982543945312,workflow,132.28982543945312
qlib\qlib\workflow\task\collect.py,8.022275924682617,11.968488693237305,16.481830596923828,10.232279777526855,15.431801795959473,15.481101989746094,11.66636848449707,17.744083404541016,146.79403686523438,workflow,146.79403686523438
qlib\qlib\rl\utils\log.py,4.877406120300293,14.331934928894043,13.629339218139648,68.49183654785156,22.380584716796875,14.693111419677734,12.256765365600586,71.03997802734375,41.97071838378906,utils,71.03997802734375
qlib\qlib\backtest\report.py,63.529266357421875,19.932106018066406,26.348087310791016,23.66205406188965,32.2590217590332,25.48665428161621,46.06436538696289,28.15300178527832,45.29524230957031,backtest,63.529266357421875
qlib\qlib\contrib\data\__init__.py,1.001301884651184,64.41008758544922,1.001301884651184,1.001301884651184,3.9977474212646484,1.001301884651184,4.999049186706543,6.7972517013549805,8.730030059814453,contrib,64.41008758544922
