Project,TFIDF_Avg_Precision,TFIDF_Avg_Recall,TFIDF_F1,LLMProb_Avg_Precision,LLMProb_Avg_Recall,LLMProb_F1,LLMAssign_Avg_Precision,LLMAssign_Avg_Recall,LLMAssign_F1,LLMAssign-IPRAG_Avg_Precision,LLMAssign-IPRAG_Avg_Recall,LLMAssign-IPRAG_F1,SAMCodeTLR_Avg_Precision,SAMCodeTLR_Avg_Recall,SAMCodeTLR_F1
audioflux,0.772,0.4829,0.5941,0.6325,0.3583,0.4575,0.5995,0.745,0.6644,0.6123,0.7164,0.6603,0.0,0.0,0.0
bgslibrary,0.558,0.426,0.4831,0.5176,0.4538,0.4836,0.4911,0.4805,0.4857,0.559,0.5344,0.5464,0.0,0.0,0.0
distributed_camera,0.4545,0.0268,0.0506,0.7062,0.442,0.5437,0.5855,0.6238,0.604,0.7616,0.8157,0.7877,0.0,0.0,0.0
proxygen,0.8621,0.4585,0.5986,0.8424,0.6318,0.7221,0.8437,0.8622,0.8528,0.9483,0.9555,0.9519,0.0,0.0,0.0
