file_path,cli,client,prompts,resources,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,32.6401481628418,20.698043823242188,15.630188941955566,53.43556594848633,20.605873107910156,107.9011001586914,utilities,107.9011001586914
fastmcp\tests\deprecated\test_elicitation.py,64.68555450439453,68.9903793334961,5.453577518463135,11.042153358459473,33.83708953857422,12.508930206298828,client,68.9903793334961
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,70.81373596191406,68.92288970947266,10.286565780639648,65.2664794921875,35.80426025390625,29.62598419189453,cli,70.81373596191406
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,117.63944244384766,36.28254318237305,12.534285545349121,32.20180892944336,20.418224334716797,114.68143463134766,cli,117.63944244384766
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,70.04499053955078,72.0824966430664,5.665092945098877,54.2080192565918,8.759202003479004,40.62297821044922,client,72.0824966430664
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,100.41645812988281,67.47716522216797,0.7050986289978027,2.4907619953155518,2.859133243560791,23.11235809326172,cli,100.41645812988281
fastmcp\examples\testing_demo\server.py,15.1996431350708,20.934640884399414,63.10161209106445,44.747920989990234,33.00798797607422,16.365400314331055,prompts,63.10161209106445
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,71.04524993896484,14.609192848205566,162.61532592773438,136.782958984375,115.42133331298828,45.729164123535156,prompts,162.61532592773438
fastmcp\examples\desktop.py,9.589518547058105,9.971498489379883,5.018527030944824,45.91107940673828,29.511688232421875,7.626112461090088,resources,45.91107940673828
fastmcp\tests\cli\test_mcp_server_config_integration.py,124.77460479736328,76.05366516113281,9.7600679397583,70.34305572509766,35.76502990722656,39.200931549072266,cli,124.77460479736328
fastmcp\tests\server\middleware\test_rate_limiting.py,78.19139862060547,77.74749755859375,5.735782623291016,13.670759201049805,43.4207878112793,16.342185974121094,cli,78.19139862060547
fastmcp\tests\tools\tool_transform\test_args.py,76.36592864990234,77.88639831542969,16.626235961914062,27.164764404296875,153.46511840820312,32.7305793762207,tools,153.46511840820312
fastmcp\tests\server\test_dependencies_advanced.py,78.36931610107422,75.49064636230469,63.127498626708984,65.5662841796875,114.43070983886719,29.490856170654297,tools,114.43070983886719
fastmcp\examples\diagnostics\client_with_tracing.py,75.02922058105469,72.37908935546875,154.85003662109375,143.8639678955078,110.0916748046875,31.764440536499023,prompts,154.85003662109375
fastmcp\fastmcp_slim\fastmcp\server\providers\filesystem_discovery.py,44.02127456665039,17.53369140625,71.83295440673828,80.71479034423828,63.11642837524414,49.09785461425781,resources,80.71479034423828
fastmcp\examples\atproto_mcp\demo.py,106.08297729492188,89.76547241210938,20.996320724487305,123.47258758544922,106.5540771484375,43.169761657714844,resources,123.47258758544922
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,140.78219604492188,98.38107299804688,97.99911499023438,109.64397430419922,107.23434448242188,72.26486206054688,cli,140.78219604492188
fastmcp\tests\server\test_logging.py,21.955947875976562,10.657930374145508,7.862888813018799,9.559463500976562,7.492539882659912,14.692939758300781,cli,21.955947875976562
fastmcp\tests\client\client\test_mode_negotiation.py,63.37284469604492,86.77608489990234,9.139128684997559,16.297361373901367,38.563751220703125,22.657716751098633,client,86.77608489990234
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,122.84290313720703,20.186668395996094,12.567925453186035,22.41628074645996,37.63999557495117,24.70981788635254,cli,122.84290313720703
fastmcp\tests\tools\tool\test_output_schema.py,19.240781784057617,30.23896598815918,13.90434455871582,27.020748138427734,97.36138153076172,27.830615997314453,tools,97.36138153076172
fastmcp\examples\skills\server.py,8.641596794128418,10.914337158203125,6.388801574707031,10.136758804321289,20.383359909057617,10.85811996459961,tools,20.383359909057617
fastmcp\tests\server\test_context.py,77.23265838623047,135.07142639160156,11.007684707641602,36.70176315307617,44.50906753540039,27.461280822753906,client,135.07142639160156
fastmcp\tests\client\telemetry\__init__.py,39.32352066040039,57.95630645751953,0.49674904346466064,0.6042844653129578,0.49674904346466064,5.118669033050537,client,57.95630645751953
fastmcp\docs\apps\demos\hitchhikers.py,101.56009674072266,26.349138259887695,12.866366386413574,40.078697204589844,51.384883880615234,30.85112953186035,cli,101.56009674072266
fastmcp\fastmcp_slim\fastmcp\server\auth\handlers\authorize.py,65.40980529785156,98.50425720214844,12.583332061767578,25.150667190551758,39.539207458496094,33.437294006347656,client,98.50425720214844
fastmcp\tests\utilities\json_schema_type\test_real_world_schemas.py,47.16033172607422,15.445991516113281,18.346860885620117,37.37345886230469,25.48067283630371,122.02317810058594,utilities,122.02317810058594
fastmcp\fastmcp_slim\fastmcp\client\__init__.py,56.34163284301758,61.081932067871094,0.5395793318748474,1.304337978363037,0.5395793318748474,18.783493041992188,client,61.081932067871094
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\huggingface.py,77.0926284790039,78.40560913085938,4.676741600036621,63.17109298706055,22.723173141479492,24.70936393737793,client,78.40560913085938
fastmcp\fastmcp_slim\fastmcp\client\transports\stdio.py,87.75454711914062,67.25833892822266,8.758903503417969,22.661035537719727,54.29710388183594,27.807546615600586,cli,87.75454711914062
fastmcp\examples\auth\propelauth_oauth\client.py,58.80550765991211,68.29528045654297,6.471141815185547,4.202853679656982,105.43293762207031,13.052042961120605,tools,105.43293762207031
fastmcp\fastmcp_slim\fastmcp\utilities\versions.py,19.731781005859375,7.298699378967285,4.668378829956055,9.950268745422363,21.674468994140625,101.46479797363281,utilities,101.46479797363281
fastmcp\fastmcp_slim\fastmcp\server\providers\openapi\__init__.py,16.278383255004883,7.013909816741943,1.0,2.8724231719970703,2.310980796813965,19.03309440612793,utilities,19.03309440612793
fastmcp\fastmcp_slim\fastmcp\cli\install\stdio.py,100.80207824707031,16.244903564453125,13.060938835144043,16.91916847229004,37.572383880615234,24.650157928466797,cli,100.80207824707031
fastmcp\fastmcp_slim\fastmcp\utilities\openapi\json_schema_converter.py,15.87069320678711,10.689399719238281,19.437606811523438,9.279088020324707,31.94335174560547,102.36054229736328,utilities,102.36054229736328
fastmcp\tests\resources\test_file_resources.py,22.107023239135742,8.579068183898926,8.277825355529785,144.3680419921875,6.603071689605713,14.196185111999512,resources,144.3680419921875
fastmcp\fastmcp_slim\fastmcp\server\auth\oauth_proxy\__init__.py,15.42010498046875,2.8124043941497803,0.0,0.8953260183334351,1.3146347999572754,4.296177864074707,cli,15.42010498046875
fastmcp\tests\server\telemetry\test_provider_tracing.py,25.030256271362305,7.559303283691406,58.37459945678711,54.50446701049805,96.94706726074219,21.61780548095703,tools,96.94706726074219
fastmcp\tests\utilities\openapi\test_circular_references.py,20.81203269958496,25.131208419799805,12.303712844848633,8.890329360961914,109.09468841552734,117.02071380615234,utilities,117.02071380615234
fastmcp\tests\server\providers\local_provider_tools\__init__.py,4.5633673667907715,3.6824331283569336,0.0,3.755899429321289,68.48888397216797,13.800521850585938,tools,68.48888397216797
fastmcp\tests\server\http\test_http_auth_middleware.py,63.43852615356445,83.13127136230469,9.59046745300293,42.936851501464844,8.280266761779785,33.64719009399414,client,83.13127136230469
fastmcp\tests\server\providers\local_provider_tools\test_parameters.py,25.202146530151367,18.791223526000977,6.9897027015686035,24.724349975585938,113.98143005371094,23.78002166748047,tools,113.98143005371094
fastmcp\tests\server\http\test_http_middleware.py,56.04030227661133,66.31138610839844,4.088999271392822,14.105899810791016,3.9716567993164062,10.636906623840332,client,66.31138610839844
fastmcp\fastmcp_slim\fastmcp\server\providers\aggregate.py,36.23815155029297,14.648746490478516,159.16587829589844,133.8680877685547,101.50593566894531,40.0818977355957,prompts,159.16587829589844
fastmcp\tests\utilities\test_components.py,22.70233154296875,18.120088577270508,75.85084533691406,69.4038314819336,48.922752380371094,95.36449432373047,utilities,95.36449432373047
fastmcp\examples\atproto_mcp\src\atproto_mcp\_atproto\_client.py,39.21952438354492,65.56719207763672,3.775932550430298,0.3592151701450348,3.8642756938934326,6.621114730834961,client,65.56719207763672
fastmcp\fastmcp_slim\fastmcp\server\auth\oauth_proxy\proxy.py,90.17235565185547,111.37825012207031,18.81841468811035,72.8788070678711,52.308414459228516,52.32565689086914,client,111.37825012207031
fastmcp\fastmcp_slim\fastmcp\server\auth\oauth_proxy\models.py,76.61214447021484,69.43415832519531,3.6149909496307373,52.545166015625,21.06633949279785,23.10430145263672,cli,76.61214447021484
fastmcp\tests\cli\test_cimd_cli.py,113.94715118408203,72.23799896240234,8.523905754089355,30.043415069580078,8.852042198181152,24.28478240966797,cli,113.94715118408203
fastmcp\fastmcp_slim\fastmcp\client\sampling\handlers\anthropic.py,82.13906860351562,75.11937713623047,54.90592575073242,23.001251220703125,117.30452728271484,36.567134857177734,tools,117.30452728271484
fastmcp\tests\server\tasks\test_task_protocol.py,61.68165969848633,78.3397445678711,6.318539142608643,7.3517913818359375,41.3644905090332,16.905885696411133,client,78.3397445678711
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\oci.py,78.13915252685547,72.1385726928711,0.7298310399055481,53.59581756591797,21.98906707763672,24.189260482788086,cli,78.13915252685547
fastmcp\tests\utilities\test_tests.py,19.606189727783203,9.86964225769043,7.081411838531494,5.925455570220947,4.69395637512207,96.37566375732422,utilities,96.37566375732422
fastmcp\fastmcp_slim\fastmcp\server\auth\auth.py,65.0557632446289,82.0726318359375,9.47815227508545,100.60162353515625,29.257308959960938,44.3033447265625,resources,100.60162353515625
fastmcp\examples\versioning\version_filters.py,71.29682922363281,71.93264770507812,5.54579496383667,16.121809005737305,103.34251403808594,22.149524688720703,tools,103.34251403808594
fastmcp\examples\apps\choice\choice_server.py,7.447988510131836,10.461254119873047,4.082351207733154,2.356476306915283,5.395288944244385,9.344409942626953,client,10.461254119873047
fastmcp\tests\server\tasks\test_task_resources.py,57.69312286376953,74.12527465820312,70.49324798583984,138.731201171875,12.762166976928711,37.30810546875,resources,138.731201171875
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\google.py,87.4825210571289,76.19084167480469,41.46329879760742,64.80253601074219,22.337921142578125,28.27425765991211,cli,87.4825210571289
