file_path,IMBS,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\IndependentMultimodal.cpp,98.03101348876953,11.298550605773926,6.721687316894531,7.410350799560547,16.69222068786621,7.410350799560547,4.254184246063232,5.397322177886963,3.1849002838134766,7.410350799560547,5.401945114135742,7.8687214851379395,7.637460231781006,13.817554473876953,IMBS,98.03101348876953
bgslibrary\bgslibrary\algorithms\T2F\T2FMRF.cpp,11.532342910766602,55.28495407104492,6.821268081665039,10.071352005004883,29.703269958496094,6.918004512786865,245.95425415039062,5.220155715942383,15.052044868469238,6.918004512786865,140.3939208984375,7.442907810211182,76.78837585449219,14.655346870422363,T2F,245.95425415039062
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.h,1.1507539749145508,31.325225830078125,2.320352077484131,1.1507539749145508,8.719013214111328,1.1507539749145508,20.971668243408203,3.367478370666504,1.1507539749145508,1.1507539749145508,1.3882954120635986,3.629467010498047,103.90526580810547,3.786832571029663,lb,103.90526580810547
bgslibrary\bgslibrary\algorithms\LBAdaptiveSOM.cpp,21.077835083007812,30.956350326538086,6.600033283233643,7.2832255363464355,15.502174377441406,7.2832255363464355,4.171635627746582,5.340695858001709,17.242311477661133,7.2832255363464355,5.3117475509643555,7.748778820037842,95.67536926269531,15.607986450195312,lb,95.67536926269531
bgslibrary\bgslibrary\algorithms\LBP_MRF.h,20.433979034423828,157.33006286621094,48.11799240112305,6.824868679046631,29.456392288208008,3.988974094390869,26.819629669189453,3.3731470108032227,1.1530793905258179,3.988974094390869,1.3405457735061646,3.665839672088623,73.9531478881836,11.688920974731445,LBP_MRF,157.33006286621094
bgslibrary\bgslibrary\algorithms\TwoPoints.cpp,19.553030014038086,12.295312881469727,6.7879133224487305,5.582075595855713,19.47319984436035,2.4671754837036133,3.295429229736328,150.2073974609375,2.4671754837036133,2.4671754837036133,6.207590579986572,5.055091381072998,5.959661483764648,15.0155668258667,TwoPoints,150.2073974609375
bgslibrary\gui\mfc\src\targetver.h,0.0,10.886882781982422,0.0,0.0,0.0,0.0,0.3024134337902069,0.0,0.0,0.0,0.0,0.0,1.1161623001098633,0.0,LBP_MRF,10.886882781982422
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,1.1297013759613037,0.0,2.2756154537200928,102.20111846923828,0.0,1.1297013759613037,0.0,3.3161606788635254,1.1297013759613037,1.1297013759613037,1.1297013759613037,3.4053168296813965,1.145914077758789,3.4053168296813965,MultiLayer,102.20111846923828
bgslibrary\bgslibrary\algorithms\LBSP\LBSP_.cpp,7.608022689819336,51.975746154785156,106.71031951904297,1.081527829170227,1.7191708087921143,1.4454954862594604,25.035808563232422,3.5627002716064453,18.138914108276367,1.4454954862594604,2.3115806579589844,3.5538840293884277,40.84381103515625,13.75117015838623,LBSP,106.71031951904297
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.h,2.501748561859131,42.25184631347656,111.2034683227539,3.1441831588745117,4.240445613861084,5.562679290771484,2.181581735610962,4.709026336669922,18.911266326904297,3.501748561859131,3.3257646560668945,5.632153511047363,78.0135726928711,12.307028770446777,LBSP,111.2034683227539
bgslibrary\bgslibrary\tools\PerformanceUtils.h,0.34963274002075195,0.0,1.0,0.0,1.349632740020752,0.34963274002075195,0.0,1.4113279581069946,1.349632740020752,1.349632740020752,0.0,1.0,1.0488981008529663,0.0,TwoPoints,1.4113279581069946
bgslibrary\bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,9.82275104522705,13.584802627563477,2.764693260192871,96.02200317382812,0.0,1.1175953149795532,0.3773556053638458,6.160053253173828,1.1175953149795532,1.1175953149795532,1.310041904449463,3.7278075218200684,5.056453227996826,10.61792278289795,MultiLayer,96.02200317382812
bgslibrary\bgslibrary\algorithms\DPPratiMediod.h,20.16423988342285,7.013012409210205,2.67564058303833,1.1522963047027588,24.84988021850586,1.1522963047027588,0.18371464312076569,3.3712379932403564,1.1522963047027588,1.1522963047027588,93.60447692871094,3.6596407890319824,1.5387626886367798,13.51087474822998,dp,93.60447692871094
bgslibrary\bgslibrary\algorithms\dp\BgsParams.h,1.1538705825805664,0.0,2.326975107192993,1.1538705825805664,0.0,1.1538705825805664,0.0,3.375075578689575,17.383546829223633,1.1538705825805664,89.69215393066406,3.4808456897735596,1.1731044054031372,3.4808456897735596,dp,89.69215393066406
bgslibrary\bgslibrary\algorithms\PAWCS.h,19.7447452545166,34.50029754638672,98.31423950195312,3.143533229827881,21.985637664794922,3.143533229827881,2.1762900352478027,4.349876880645752,2.143533229827881,3.143533229827881,4.313660144805908,5.624831199645996,41.51405334472656,12.197657585144043,LBSP,98.31423950195312
bgslibrary\bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,3.054675340652466,17.75113868713379,6.1280999183654785,4.959356307983398,16.342140197753906,4.959356307983398,3.8093619346618652,5.270308017730713,3.054675340652466,4.959356307983398,96.5487289428711,7.463557243347168,10.831032752990723,17.79405975341797,dp,96.5487289428711
bgslibrary\bgslibrary\algorithms\dp\PratiMediodBGS.h,3.533153533935547,17.738672256469727,6.3623809814453125,5.1985883712768555,22.690353393554688,5.5596513748168945,4.052995204925537,5.742458820343018,18.187950134277344,5.5596513748168945,94.28466796875,7.693306922912598,11.730964660644531,17.95244026184082,dp,94.28466796875
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.h,2.4489400386810303,43.874271392822266,99.81050109863281,3.1427998542785645,2.306140184402466,3.4489400386810303,2.333510398864746,4.654229640960693,18.81861686706543,3.4489400386810303,3.4763102531433105,5.635845184326172,42.746089935302734,17.119108200073242,LBSP,99.81050109863281
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobResult.cpp,1.3633036613464355,0.0,24.96533203125,93.50039672851562,1.82692551612854,1.3633036613464355,32.23679733276367,5.493509292602539,8.958664894104004,1.3633036613464355,6.6088337898254395,10.401383399963379,5.877587795257568,13.353135108947754,MultiLayer,93.50039672851562
bgslibrary\bgslibrary\algorithms\DPZivkovicAGMM.cpp,20.89771270751953,10.898787498474121,6.57923698425293,7.261129856109619,27.156261444091797,7.261129856109619,7.5829362869262695,5.330902576446533,17.102890014648438,7.261129856109619,48.14972686767578,7.7281317710876465,54.331024169921875,15.556669235229492,lb,54.331024169921875
bgslibrary\bgslibrary\algorithms\KNN.h,21.328611373901367,7.047008991241455,4.681861400604248,3.1532764434814453,24.463756561279297,3.1532764434814453,2.1845285892486572,5.2425537109375,2.1532764434814453,3.1532764434814453,3.3378050327301025,5.663517475128174,4.5414934158325195,12.58824348449707,PBAS,24.463756561279297
