file_path,backtest,contrib,data,model,rl,run,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,3.2885847091674805,51.67576599121094,13.566570281982422,12.686607360839844,6.973977088928223,9.742197036743164,4.313005447387695,3.314352512359619,18.156654357910156,contrib,51.67576599121094
qlib\qlib\rl\reward.py,4.6182451248168945,0.0,1.3281861543655396,0.9302036166191101,83.30564880371094,0.0,0.0,0.5366533398628235,7.017887592315674,rl,83.30564880371094
qlib\qlib\contrib\model\pytorch_lstm.py,4.895802021026611,54.717464447021484,84.3814697265625,86.62641906738281,32.955387115478516,40.787353515625,81.65070343017578,62.12674331665039,43.728118896484375,model,86.62641906738281
qlib\qlib\workflow\task\collect.py,4.531769752502441,4.170142650604248,12.017854690551758,11.425832748413086,5.671524524688721,18.574113845825195,5.235419273376465,7.293567180633545,133.7137451171875,workflow,133.7137451171875
qlib\qlib\rl\utils\log.py,1.922032117843628,5.249903202056885,49.80669021606445,11.353303909301758,63.068302154541016,18.86243438720703,6.848855495452881,60.54221725463867,29.50574493408203,rl,63.068302154541016
qlib\qlib\backtest\report.py,56.49856185913086,4.7270965576171875,95.86197662353516,19.846019744873047,17.20953369140625,28.02642059326172,38.58441925048828,10.530680656433105,30.953935623168945,data,95.86197662353516
qlib\qlib\contrib\data\__init__.py,0.0,56.2845344543457,61.15219497680664,0.0,0.0,4.169467926025391,2.7796452045440674,2.7796452045440674,5.559290409088135,data,61.15219497680664
qlib\qlib\rl\order_execution\simulator_simple.py,104.65936279296875,2.6907801628112793,86.37667846679688,6.801759719848633,64.91233825683594,35.80815505981445,7.497010707855225,9.845653533935547,23.735164642333984,backtest,104.65936279296875
qlib\qlib\data\cache.py,6.150350093841553,9.918867111206055,110.90617370605469,38.49003601074219,74.6707534790039,65.77403259277344,18.810251235961914,18.514347076416016,54.42872619628906,data,110.90617370605469
qlib\qlib\contrib\report\data\ana.py,1.1686495542526245,51.22075653076172,67.95865631103516,6.68966817855835,2.083038330078125,32.45071029663086,6.343046188354492,5.8065595626831055,12.914670944213867,data,67.95865631103516
qlib\qlib\contrib\data\processor.py,0.7383933663368225,50.63884735107422,71.95026397705078,2.2723851203918457,0.7383933663368225,20.308513641357422,7.762184143066406,5.966193199157715,16.671924591064453,data,71.95026397705078
qlib\qlib\rl\strategy\__init__.py,2.6049113273620605,0.0,0.0,0.0,82.42808532714844,0.0,0.0,0.0,5.209822654724121,rl,82.42808532714844
qlib\qlib\rl\data\pickle_styled.py,96.99152374267578,2.5931570529937744,99.49620056152344,7.090662002563477,63.89078140258789,23.761709213256836,6.432531356811523,12.651796340942383,34.277587890625,data,99.49620056152344
qlib\qlib\model\riskmodel\base.py,0.9821809530258179,7.576584815979004,51.79230880737305,61.671775817871094,3.2363712787628174,24.30547332763672,5.554548263549805,10.037250518798828,34.93748474121094,model,61.671775817871094
qlib\qlib\contrib\torch.py,0.0,55.320281982421875,66.43505859375,0.13175293803215027,0.0,4.494837284088135,3.45880389213562,3.2744948863983154,7.229747295379639,data,66.43505859375
qlib\qlib\backtest\account.py,81.32999420166016,5.40245246887207,60.63352966308594,29.086776733398438,15.079133033752441,26.53183937072754,9.806205749511719,9.049861907958984,37.783695220947266,backtest,81.32999420166016
qlib\qlib\rl\order_execution\interpreter.py,2.9413533210754395,3.767803192138672,84.15949249267578,6.711926460266113,67.7069091796875,44.990718841552734,6.592538356781006,10.000177383422852,29.40677261352539,data,84.15949249267578
qlib\qlib\contrib\model\pytorch_gats.py,5.025150299072266,53.549930572509766,108.3218002319336,97.29804229736328,32.10462188720703,48.505043029785156,79.73278045654297,61.30506134033203,55.89556121826172,data,108.3218002319336
qlib\qlib\backtest\utils.py,72.94427490234375,5.462255001068115,75.35972595214844,3.535085916519165,4.603855609893799,52.72486877441406,8.35507869720459,70.72393798828125,15.984603881835938,data,75.35972595214844
