Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
bigbluebutton,0.7780,0.9378,0.8505,0.7803,0.9378,0.8518,0.7803,0.9378,0.8518,0.7821,0.9320,0.8505,0.7866,0.9261,0.8507,0.7849,0.9074,0.8417,0.7856,0.8816,0.8308,0.8805,0.7247,0.7951,0.9124,0.4312,0.5857
jabref,0.7978,0.8953,0.8437,0.8170,0.8953,0.8543,0.8307,0.8953,0.8618,0.8512,0.8953,0.8727,0.8501,0.8547,0.8524,0.7517,0.4665,0.5757,0.6046,0.2102,0.3120,0.5298,0.1513,0.2354,0.4740,0.0858,0.1453
mediastore,0.8687,0.8103,0.8385,0.8930,0.8103,0.8496,0.8996,0.8103,0.8526,0.8996,0.8103,0.8526,0.8900,0.7327,0.8037,0.8563,0.5416,0.6635,0.8094,0.3858,0.5226,0.7160,0.2318,0.3502,0.7160,0.2318,0.3502
teammates,0.7896,0.8687,0.8273,0.8072,0.8687,0.8368,0.8145,0.8687,0.8407,0.8205,0.8687,0.8439,0.8212,0.8671,0.8435,0.8124,0.7967,0.8044,0.8056,0.6009,0.6884,0.9142,0.5087,0.6537,0.9578,0.3503,0.5130
teastore,0.8627,0.9783,0.9169,0.8763,0.9783,0.9245,0.9124,0.9783,0.9442,0.9153,0.9783,0.9458,0.9231,0.9783,0.9499,0.9251,0.9650,0.9446,0.9422,0.9251,0.9336,0.9397,0.6561,0.7727,0.9344,0.6002,0.7309
