Project,TFIDF_Avg_Precision,TFIDF_Avg_Recall,TFIDF_F1,LLMProb_Avg_Precision,LLMProb_Avg_Recall,LLMProb_F1,LLMAssign_Avg_Precision,LLMAssign_Avg_Recall,LLMAssign_F1,LLMAssign-IPRAG_Avg_Precision,LLMAssign-IPRAG_Avg_Recall,LLMAssign-IPRAG_F1,SAMCodeTLR_Avg_Precision,SAMCodeTLR_Avg_Recall,SAMCodeTLR_F1
bigbluebutton,0.7866,0.9261,0.8507,0.575,0.6546,0.6122,0.6847,0.8,0.7379,0.7139,0.8052,0.7568,0.0,0.0,0.0
jabref,0.8501,0.8547,0.8524,0.9057,0.9669,0.9353,0.7873,0.9439,0.8585,0.8976,0.9714,0.933,0.0,0.0,0.0
mediastore,0.89,0.7327,0.8037,0.8343,0.9047,0.8681,0.8165,0.9456,0.8763,0.8982,1.0,0.9464,0.0,0.0,0.0
teammates,0.8212,0.8671,0.8435,0.7918,0.8811,0.8341,0.6216,0.7648,0.6858,0.975,0.9918,0.9833,0.0,0.0,0.0
teastore,0.9231,0.9783,0.9499,0.951,0.9737,0.9622,0.9043,0.9723,0.9371,0.9631,1.0,0.9812,0.0,0.0,0.0
