file_path,feature,filter_bank,general,mir,best_module,best_likelihood
audioFlux\src\cepstrogram_algorithm.c,6.957241058349609,0.0,8.702383995056152,3.804511547088623,general,8.702383995056152
audioFlux\src\swt_algorithm.h,2.0,0.0,4.8802642822265625,1.4133514165878296,general,4.8802642822265625
audioFlux\src\mir\timeStretch_algorithm.h,6.516473770141602,0.0,4.874053955078125,78.24624633789062,mir,78.24624633789062
audioFlux\src\vector\flux_vectorOp.h,2.836026191711426,33.1114616394043,5.184291839599609,1.9768109321594238,filter_bank,33.1114616394043
audioFlux\include\ewt_algorithm.h,2.0,0.0,4.8802642822265625,1.4133514165878296,general,4.8802642822265625
audioFlux\src\fst_algorithm.h,2.0,0.0,4.883402347564697,1.4148250818252563,general,4.883402347564697
audioFlux\src\flux_spectral.h,28.31468963623047,9.092260360717773,8.062699317932129,12.211265563964844,feature,28.31468963623047
audioFlux\include\pwt_algorithm.h,7.0,2.0,5.852992057800293,1.4005452394485474,feature,7.0
audioFlux\src\dsp\flux_correct.c,2.4119467735290527,21.43895721435547,3.7378668785095215,18.279869079589844,filter_bank,21.43895721435547
audioFlux\include\wsst_algorithm.h,7.857344150543213,2.8258633613586426,5.8569254875183105,1.4023921489715576,feature,7.857344150543213
audioFlux\src\filterbank\nsgt_filterBank.h,7.0,100.00193786621094,4.001887798309326,4.390109539031982,filter_bank,100.00193786621094
audioFlux\src\dsp\dct_algorithm.h,2.759648084640503,0.7086866497993469,4.8569254875183105,2.3473076820373535,general,4.8569254875183105
audioFlux\include\track\tune_track.h,2.0,0.0,3.001804828643799,2.0825984477996826,general,3.001804828643799
audioFlux\src\mir\_queue.c,3.7775309085845947,29.417728424072266,6.895382881164551,71.02484130859375,mir,71.02484130859375
audioFlux\include\dsp\hilbert_algorithm.h,2.0,0.0,4.884453296661377,1.4153186082839966,general,4.884453296661377
audioFlux\src\dsp\filterDesign_fir.h,1.0,163.9687042236328,3.0018463134765625,51.44328689575195,filter_bank,163.9687042236328
audioFlux\src\mir\hpss_algorithm.h,2.0,0.0,4.868945598602295,78.57322692871094,mir,78.57322692871094
audioFlux\src\mir\_trist3.h,1.0,0.0,3.001892328262329,74.77325439453125,mir,74.77325439453125
audioFlux\src\reassign_algorithm.c,2.0,48.38252258300781,6.8174357414245605,28.193857192993164,filter_bank,48.38252258300781
audioFlux\src\dsp\xcorr_algorithm.c,2.0,2.4776151180267334,6.8737592697143555,1.270704746246338,general,6.8737592697143555
audioFlux\src\mir\_pitch_ffp.h,3.045699119567871,0.0,3.0017647743225098,80.38970947265625,mir,80.38970947265625
audioFlux\src\dsp\phase_vocoder.c,5.335814952850342,0.0,4.2112956047058105,4.267454624176025,feature,5.335814952850342
audioFlux\src\dsp\conv_algorithm.h,5.9532694816589355,2.764965057373047,10.200695991516113,3.74233078956604,general,10.200695991516113
audioFlux\src\bft_algorithm.h,11.460640907287598,38.69428253173828,5.839506149291992,2.319920063018799,filter_bank,38.69428253173828
audioFlux\src\dsp\filterDesign_iir.c,1.0,36.0,3.0019428730010986,27.540237426757812,filter_bank,36.0
audioFlux\src\spectrogram_algorithm.h,29.818628311157227,38.6630744934082,10.702930450439453,37.79399871826172,filter_bank,38.6630744934082
audioFlux\include\feature\xxcc_algorithm.h,130.30316162109375,0.0,4.862893581390381,3.4051947593688965,feature,130.30316162109375
audioFlux\src\dsp\hilbert_algorithm.c,2.0,0.0,5.279789447784424,1.3542107343673706,general,5.279789447784424
audioFlux\src\filterbank\coef\__coef_d.h,1.0,45.180419921875,3.2804510593414307,16.409439086914062,filter_bank,45.180419921875
audioFlux\src\mir\harmonicRatio_algorithm.h,2.0,0.0,4.874053955078125,76.91014862060547,mir,76.91014862060547
audioFlux\src\filterbank\cqt_filterBank.c,7.117554664611816,113.48116302490234,6.692926406860352,16.81459617614746,filter_bank,113.48116302490234
audioFlux\include\util\flux_util.h,9.672447204589844,26.063556671142578,6.697819232940674,43.55669021606445,mir,43.55669021606445
audioFlux\include\util\flux_wave.h,4.0034966468811035,0.0,3.0018463134765625,15.607954025268555,mir,15.607954025268555
audioFlux\include\dsp\resample_algorithm.h,2.970355749130249,0.0,4.831989288330078,29.034074783325195,mir,29.034074783325195
audioFlux\src\filterbank\cwt_filterBank.c,9.622272491455078,129.07821655273438,5.144805908203125,10.251233100891113,filter_bank,129.07821655273438
audioFlux\include\dsp\phase_vocoder.h,5.120624542236328,0.0,3.0019173622131348,4.185692310333252,feature,5.120624542236328
audioFlux\src\synsq_algorithm.h,6.0,2.845353126525879,5.877148151397705,1.4118882417678833,feature,6.0
audioFlux\src\mir\_pitch_stft.h,3.075129270553589,0.0,3.863166570663452,83.27178192138672,mir,83.27178192138672
audioFlux\src\classic\viterbi.h,1.0,0.0,4.327500820159912,1.0,general,4.327500820159912
audioFlux\src\cqt_algorithm.h,18.33683204650879,38.0,5.8137736320495605,1.382129192352295,filter_bank,38.0
audioFlux\src\dsp\fft_algorithm.h,2.567636728286743,0.0,4.851039409637451,1.3996281623840332,general,4.851039409637451
audioFlux\src\wpt_algorithm.c,5.261097431182861,71.61906433105469,7.69333028793335,18.538352966308594,filter_bank,71.61906433105469
audioFlux\include\wvd_algorithm.h,2.0,0.0,4.884453296661377,1.4153186082839966,general,4.884453296661377
audioFlux\include\fst_algorithm.h,2.0,0.0,4.883402347564697,1.4148250818252563,general,4.883402347564697
audioFlux\src\dsp\dft_algorithm.h,1.6707913875579834,0.0,4.875082969665527,1.4109184741973877,general,4.875082969665527
audioFlux\src\filterbank\dwt_filterCoef.h,1.678594946861267,87.62593841552734,3.0019195079803467,1.0,filter_bank,87.62593841552734
audioFlux\include\classic\nmf.h,1.5861319303512573,0.7375956773757935,3.8942346572875977,1.9834609031677246,general,3.8942346572875977
audioFlux\src\spectrogram_algorithm.c,34.78220748901367,121.00237274169922,13.98349666595459,72.6684799194336,filter_bank,121.00237274169922
audioFlux\src\classic\trist.h,1.0,0.0,3.001912832260132,1.0,general,3.001912832260132
audioFlux\src\mir\_pitch_cep.c,3.162728786468506,0.0,3.514118194580078,68.00019836425781,mir,68.00019836425781
audioFlux\src\util\flux_wave.h,4.0034966468811035,0.0,3.0018463134765625,15.607954025268555,mir,15.607954025268555
audioFlux\src\dsp\filterDesign_fir.c,1.0,220.5407257080078,4.069385051727295,54.955196380615234,filter_bank,220.5407257080078
audioFlux\src\dsp\phase_vocoder.h,5.120624542236328,0.0,3.0019173622131348,4.185692310333252,feature,5.120624542236328
audioFlux\src\mir\_pitch_hps.h,3.579252243041992,0.0,3.001863718032837,86.25060272216797,mir,86.25060272216797
audioFlux\include\mir\harmonic_algorithm.h,4.501743793487549,0.0,4.866918563842773,82.50393676757812,mir,82.50393676757812
audioFlux\src\track\tune_track.c,9.353492736816406,39.44504165649414,7.083432197570801,37.948551177978516,filter_bank,39.44504165649414
audioFlux\include\mir\hpss_algorithm.h,2.0,0.0,4.868945598602295,78.57322692871094,mir,78.57322692871094
audioFlux\include\cqt_algorithm.h,18.33683204650879,38.0,5.8137736320495605,1.382129192352295,filter_bank,38.0
audioFlux\src\nsgt_algorithm.h,7.0,38.0,5.835731029510498,3.7456061840057373,filter_bank,38.0
audioFlux\include\dsp\xcorr_algorithm.h,1.0,0.0,7.763265132904053,1.4109184741973877,general,7.763265132904053
audioFlux\src\filterbank\auditory_filterBank.c,8.181268692016602,172.8306884765625,9.365926742553711,64.29180908203125,filter_bank,172.8306884765625
audioFlux\src\dsp\filterDesign_freqz.h,1.0,65.14152526855469,4.080669403076172,13.773162841796875,filter_bank,65.14152526855469
audioFlux\include\stft_algorithm.h,2.0,0.6819583177566528,4.824605941772461,5.397963047027588,mir,5.397963047027588
audioFlux\src\dsp\conv_algorithm.c,6.358095645904541,3.5095102787017822,11.995408058166504,3.0126595497131348,general,11.995408058166504
