file_path,datasets,environments,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\cameras\opencv\__init__.py,0.0,0.0,0.0,2.2950286865234375,0.0,robot_devices,2.2950286865234375
lerobot\examples\lekiwi\replay.py,40.94869613647461,3.418224811553955,1.728687047958374,39.692970275878906,6.1779351234436035,datasets,40.94869613647461
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,9.05848503112793,4.171632289886475,1.4389569759368896,48.190738677978516,3.6888952255249023,robot_devices,48.190738677978516
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,7.636185646057129,4.530284404754639,6.485819339752197,58.2678337097168,11.810100555419922,robot_devices,58.2678337097168
lerobot\src\lerobot\envs\robomme.py,43.6599006652832,5.37662935256958,4.181667327880859,0.6227632761001587,8.750075340270996,datasets,43.6599006652832
lerobot\src\lerobot\async_inference\robot_client.py,11.505450248718262,73.87355041503906,19.758026123046875,103.59265899658203,16.7310848236084,robot_devices,103.59265899658203
lerobot\tests\policies\pi0_pi05\test_pi05.py,45.60172653198242,7.977171897888184,93.61795043945312,34.36286544799805,10.997151374816895,policies,93.61795043945312
lerobot\src\lerobot\utils\robot_utils.py,0.7428570985794067,2.225213050842285,1.2028813362121582,41.5502815246582,2.8255746364593506,robot_devices,41.5502815246582
lerobot\src\lerobot\motors\dynamixel\__init__.py,0.0,0.0,0.0,2.6843740940093994,0.0,robot_devices,2.6843740940093994
lerobot\tests\policies\test_gaussian_actor_config.py,45.611019134521484,6.474318027496338,84.1634521484375,31.003198623657227,13.298957824707031,policies,84.1634521484375
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,43.632225036621094,8.958714485168457,84.20164489746094,9.212926864624023,15.480772972106934,policies,84.20164489746094
lerobot\tests\policies\lingbot_va\test_modules.py,14.767480850219727,9.049164772033691,84.09819030761719,32.749053955078125,17.057390213012695,policies,84.09819030761719
lerobot\src\lerobot\utils\io_utils.py,14.996593475341797,0.0,3.944535493850708,0.6579917073249817,7.33957576751709,datasets,14.996593475341797
lerobot\tests\policies\groot\test_groot_train_random_crop.py,9.061928749084473,4.503273010253906,65.26642608642578,32.05575180053711,11.81987476348877,policies,65.26642608642578
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,53.29373550415039,11.1550874710083,82.6739501953125,56.38132858276367,18.453630447387695,policies,82.6739501953125
lerobot\examples\omx\record_grab.py,59.19980239868164,5.9930195808410645,5.882153034210205,45.10506820678711,13.681384086608887,datasets,59.19980239868164
lerobot\src\lerobot\motors\robstride\robstride.py,18.39657974243164,8.25162410736084,10.195944786071777,26.949811935424805,19.21932029724121,robot_devices,26.949811935424805
lerobot\src\lerobot\configs\policies.py,23.36748695373535,10.904885292053223,89.01297760009766,78.44607543945312,22.247013092041016,policies,89.01297760009766
lerobot\tests\processor\test_migration_detection.py,23.60211181640625,7.649497032165527,32.9671745300293,3.697080373764038,14.106427192687988,policies,32.9671745300293
lerobot\tests\policies\test_gaussian_actor_policy.py,87.05564880371094,9.681546211242676,68.52528381347656,2.249549150466919,17.073251724243164,datasets,87.05564880371094
lerobot\tests\policies\pi0_pi05\test_pi0.py,45.29684829711914,7.876799583435059,88.31640625,35.081878662109375,10.103092193603516,policies,88.31640625
lerobot\tests\fixtures\files.py,117.60767364501953,8.35403823852539,4.155274868011475,3.5495212078094482,15.515464782714844,datasets,117.60767364501953
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,0.01284021232277155,2.4881529808044434,utilities,2.4881529808044434
lerobot\tests\conftest.py,97.0196533203125,7.214560508728027,17.72317123413086,37.675174713134766,15.108431816101074,datasets,97.0196533203125
lerobot\tests\policies\vla_jepa\conftest.py,12.877958297729492,3.6258716583251953,79.34517669677734,35.28178787231445,8.92606258392334,policies,79.34517669677734
lerobot\src\lerobot\robots\so_follower\so_follower.py,11.225028991699219,8.694091796875,8.56417179107666,60.97419738769531,20.20328140258789,robot_devices,60.97419738769531
lerobot\src\lerobot\robots\openarm_follower\__init__.py,0.0,0.736594021320343,0.0,39.869468688964844,0.0,robot_devices,39.869468688964844
lerobot\tests\cameras\test_realsense.py,10.729753494262695,4.602942943572998,4.454161643981934,36.814979553222656,9.517542839050293,robot_devices,36.814979553222656
lerobot\tests\datasets\test_quantiles_dataset_integration.py,114.67776489257812,3.2123332023620605,3.2544538974761963,3.579198122024536,14.470782279968262,datasets,114.67776489257812
lerobot\tests\policies\test_relative_actions.py,101.58934783935547,5.402666091918945,70.10523986816406,1.1331450939178467,13.046197891235352,datasets,101.58934783935547
lerobot\src\lerobot\teleoperators\homunculus\joints_translation.py,0.5456362962722778,0.5456362962722778,2.681295871734619,0.5570449233055115,1.0912725925445557,policies,2.681295871734619
lerobot\src\lerobot\teleoperators\keyboard\teleop_keyboard.py,8.873733520507812,54.39049530029297,5.418381690979004,51.268768310546875,14.152438163757324,environments,54.39049530029297
lerobot\src\lerobot\policies\xvla\action_hub.py,8.983328819274902,0.6411842703819275,64.64289855957031,1.0278681516647339,9.424600601196289,policies,64.64289855957031
lerobot\tests\policies\pi0_pi05\test_pi0_original_vs_lerobot.py,47.60810089111328,5.162398338317871,87.82099151611328,35.79254150390625,9.696684837341309,policies,87.82099151611328
lerobot\tests\utils\test_hub.py,10.622367858886719,6.576072692871094,8.475568771362305,2.6064939498901367,15.504597663879395,utilities,15.504597663879395
lerobot\src\lerobot\robots\koch_follower\config_koch_follower.py,6.274821758270264,3.9423811435699463,0.7545028924942017,43.57893753051758,3.146385908126831,robot_devices,43.57893753051758
lerobot\src\lerobot\annotations\steerable_pipeline\config.py,14.853938102722168,6.227207183837891,8.660019874572754,7.882373332977295,11.18265438079834,datasets,14.853938102722168
