file_path,configs,environments,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\cameras\opencv\__init__.py,0.0,0.0,0.0,5.972902297973633,0.0,robot_devices,5.972902297973633
lerobot\examples\lekiwi\replay.py,18.264020919799805,3.453508138656616,1.7380971908569336,47.35512924194336,6.207234859466553,robot_devices,47.35512924194336
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,16.110876083374023,4.1400837898254395,1.4161319732666016,54.992218017578125,3.6525516510009766,robot_devices,54.992218017578125
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,67.48692321777344,4.518350124359131,6.5453338623046875,67.76580810546875,11.856441497802734,robot_devices,67.76580810546875
lerobot\src\lerobot\envs\robomme.py,3.648104190826416,5.282331466674805,4.257915019989014,2.9859137535095215,8.75228214263916,utilities,8.75228214263916
lerobot\src\lerobot\async_inference\robot_client.py,28.6043701171875,73.09515380859375,19.901744842529297,116.4088363647461,16.717451095581055,robot_devices,116.4088363647461
lerobot\tests\policies\pi0_pi05\test_pi05.py,28.161890029907227,7.946825981140137,98.6871109008789,35.51255798339844,11.215389251708984,policies,98.6871109008789
lerobot\src\lerobot\utils\robot_utils.py,1.62581467628479,2.2611520290374756,1.2146637439727783,50.982303619384766,2.8951594829559326,robot_devices,50.982303619384766
lerobot\src\lerobot\motors\dynamixel\__init__.py,0.0,0.0,0.0,6.331714630126953,0.0,robot_devices,6.331714630126953
lerobot\tests\policies\test_gaussian_actor_config.py,29.32292938232422,6.473724365234375,88.79389190673828,31.967748641967773,13.440792083740234,policies,88.79389190673828
lerobot\tests\policies\lingbot_va\test_modules.py,13.11607837677002,9.108049392700195,88.85858154296875,33.802677154541016,17.41118621826172,policies,88.85858154296875
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,26.076229095458984,8.973627090454102,88.13410949707031,16.20330238342285,15.526716232299805,policies,88.13410949707031
lerobot\src\lerobot\utils\io_utils.py,2.473475933074951,0.0,4.0028767585754395,3.5260324478149414,7.320398330688477,utilities,7.320398330688477
lerobot\tests\policies\groot\test_groot_train_random_crop.py,14.890931129455566,4.552000999450684,69.85826873779297,36.5817756652832,12.25240421295166,policies,69.85826873779297
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,33.22084045410156,11.165787696838379,85.39198303222656,67.2756118774414,18.70537757873535,policies,85.39198303222656
lerobot\src\lerobot\motors\robstride\robstride.py,8.198023796081543,8.213627815246582,10.416729927062988,30.537874221801758,19.138580322265625,robot_devices,30.537874221801758
lerobot\examples\omx\record_grab.py,12.678483963012695,5.9131011962890625,5.885355472564697,56.92524337768555,13.700759887695312,robot_devices,56.92524337768555
lerobot\src\lerobot\configs\policies.py,82.5768814086914,10.776191711425781,93.74243927001953,86.60714721679688,22.27897071838379,policies,93.74243927001953
lerobot\tests\processor\test_migration_detection.py,97.93183898925781,7.742910385131836,33.67557907104492,5.875422954559326,14.217741966247559,configs,97.93183898925781
lerobot\tests\policies\test_gaussian_actor_policy.py,32.5648193359375,9.731972694396973,70.85688781738281,8.539064407348633,17.290563583374023,policies,70.85688781738281
lerobot\tests\fixtures\files.py,8.46770191192627,8.190462112426758,4.0751519203186035,3.4814023971557617,15.467921257019043,utilities,15.467921257019043
lerobot\tests\policies\pi0_pi05\test_pi0.py,27.72316551208496,7.833374977111816,93.70030212402344,36.2762336730957,10.30502986907959,policies,93.70030212402344
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,3.6923828125,2.4785337448120117,robot_devices,3.6923828125
lerobot\tests\conftest.py,11.755241394042969,7.159875392913818,17.87593650817871,38.692115783691406,15.126097679138184,robot_devices,38.692115783691406
lerobot\tests\policies\vla_jepa\conftest.py,23.727582931518555,3.5906782150268555,83.35245513916016,36.53009033203125,9.223899841308594,policies,83.35245513916016
lerobot\src\lerobot\robots\so_follower\so_follower.py,69.46124267578125,8.58640193939209,8.660701751708984,70.04884338378906,20.151716232299805,robot_devices,70.04884338378906
lerobot\src\lerobot\robots\openarm_follower\__init__.py,0.0,0.7332543134689331,0.0,48.47834014892578,0.0,robot_devices,48.47834014892578
lerobot\tests\cameras\test_realsense.py,23.866374969482422,4.53606653213501,4.426713943481445,39.194068908691406,9.538979530334473,robot_devices,39.194068908691406
lerobot\tests\datasets\test_quantiles_dataset_integration.py,3.975930690765381,3.129268169403076,3.2353415489196777,11.154035568237305,14.480303764343262,utilities,14.480303764343262
