file_path,feature,filter_bank,general,mir,best_module,best_likelihood
src\pwt_algorithm.c,6.760922908782959,65.6741714477539,3.8221287727355957,0.1935807764530182,filter_bank,65.6741714477539
include\track\tune_track.h,1.0,0.0,0.0,1.082512378692627,mir,1.082512378692627
include\feature\spectral_algorithm.h,124.96866607666016,6.647528648376465,4.664070129394531,44.892181396484375,feature,124.96866607666016
include\pwt_algorithm.h,6.0,2.0,2.8530259132385254,0.4014240503311157,feature,6.0
src\classic\viterbi.h,0.0,0.0,1.327130913734436,0.0,general,1.327130913734436
src\nsgt_algorithm.h,6.0,38.0,2.8338146209716797,2.7453525066375732,filter_bank,38.0
src\mir\_queue.h,1.0847047567367554,31.892501831054688,2.1363368034362793,98.27742767333984,mir,98.27742767333984
src\feature\spectral_algorithm.c,85.68497467041016,9.473883628845215,5.6786112785339355,20.535099029541016,feature,85.68497467041016
src\mir\harmonicRatio_algorithm.c,1.0,0.9623860120773315,2.6591572761535645,76.7160873413086,mir,76.7160873413086
src\mir\onset_algorithm.c,20.728260040283203,45.65732192993164,8.246133804321289,134.86883544921875,mir,134.86883544921875
src\mir\_pitch_ncf.c,4.500009536743164,0.0,0.5122334957122803,66.10352325439453,mir,66.10352325439453
src\vector\flux_complex.c,2.1514534950256348,1.9278210401535034,4.303530693054199,36.65070343017578,mir,36.65070343017578
src\classic\trist.c,0.0,1.1857326030731201,1.047194242477417,19.19135093688965,mir,19.19135093688965
include\mir\_pitch_ncf.h,2.080145835876465,0.0,0.0,81.62765502929688,mir,81.62765502929688
include\bft_algorithm.h,10.460034370422363,38.69418716430664,2.837587356567383,1.3197405338287354,filter_bank,38.69418716430664
src\mir\_pitch_ffp.h,2.045593023300171,0.0,0.0,79.38296508789062,mir,79.38296508789062
src\cqt_algorithm.c,13.281787872314453,12.679193496704102,3.8753662109375,24.352785110473633,mir,24.352785110473633
include\dsp\xcorr_algorithm.h,0.0,0.0,4.765096664428711,0.4113761782646179,general,4.765096664428711
src\mir\hpss_algorithm.c,1.0,0.0,2.918846368789673,66.07875061035156,mir,66.07875061035156
src\mir\harmonic_algorithm.c,1.9128587245941162,150.94061279296875,3.4508538246154785,79.03306579589844,filter_bank,150.94061279296875
include\emd_algorithm.h,1.583721399307251,0.0,1.8835623264312744,0.4157940745353699,general,1.8835623264312744
src\filterbank\dwt_filterCoef.c,0.31608209013938904,53.13311767578125,3.497828722000122,70.4624252319336,mir,70.4624252319336
src\swt_algorithm.c,3.371151924133301,36.0,4.026656627655029,0.27052944898605347,filter_bank,36.0
src\dsp\dft_algorithm.h,0.6712205410003662,0.0,1.8741743564605713,0.4113761782646179,general,1.8741743564605713
include\fst_algorithm.h,1.0,0.0,1.8825092315673828,0.4152985215187073,general,1.8825092315673828
src\flux_base.h,9.10057544708252,185.61456298828125,6.027942657470703,64.33916473388672,filter_bank,185.61456298828125
include\filterbank\auditory_weight.h,0.0,102.61363983154297,0.0,0.0,filter_bank,102.61363983154297
src\mir\timeStretch_algorithm.c,5.21699857711792,23.014896392822266,2.195204973220825,69.78980255126953,mir,69.78980255126953
src\st_algorithm.c,1.0,0.9693430662155151,4.048867225646973,0.27052944898605347,general,4.048867225646973
src\flux_spectral.c,25.60548210144043,10.813551902770996,6.539060115814209,27.267436981201172,mir,27.267436981201172
src\dsp\filterDesign_iir.c,0.0,36.0,0.0,26.57231903076172,filter_bank,36.0
src\dsp\filterDesign_fir.c,0.0,220.48086547851562,1.0677132606506348,53.93002700805664,filter_bank,220.48086547851562
src\feature\xxcc_algorithm.c,103.03780364990234,1.2325451374053955,2.0800833702087402,2.2639713287353516,feature,103.03780364990234
include\temporal_algorithm.h,9.832931518554688,0.0,1.862967610359192,13.103859901428223,mir,13.103859901428223
src\mir\_pitch_pef.h,3.066216468811035,0.0,0.0,81.10235595703125,mir,81.10235595703125
