file_path,configs,datasets,environments,policies,utilities,best_module,best_likelihood
lerobot\examples\lekiwi\replay.py,18.0775089263916,40.94869613647461,3.418224811553955,1.728687047958374,6.1779351234436035,datasets,40.94869613647461
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,16.05984878540039,9.05848503112793,4.171632289886475,1.4389569759368896,3.6888952255249023,configs,16.05984878540039
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,67.26725769042969,7.636185646057129,4.530284404754639,6.485819339752197,11.810100555419922,configs,67.26725769042969
lerobot\src\lerobot\envs\robomme.py,3.6156296730041504,43.6599006652832,5.37662935256958,4.181667327880859,8.750075340270996,datasets,43.6599006652832
lerobot\src\lerobot\async_inference\robot_client.py,28.39067840576172,11.505450248718262,73.87355041503906,19.758026123046875,16.7310848236084,environments,73.87355041503906
lerobot\tests\policies\pi0_pi05\test_pi05.py,27.89869499206543,45.60172653198242,7.977171897888184,93.61795043945312,10.997151374816895,policies,93.61795043945312
lerobot\src\lerobot\utils\robot_utils.py,1.5857216119766235,0.7428570985794067,2.225213050842285,1.2028813362121582,2.8255746364593506,utilities,2.8255746364593506
lerobot\tests\policies\test_gaussian_actor_config.py,28.96978187561035,45.611019134521484,6.474318027496338,84.1634521484375,13.298957824707031,policies,84.1634521484375
lerobot\tests\policies\lingbot_va\test_modules.py,12.973118782043457,14.767480850219727,9.049164772033691,84.09819030761719,17.057390213012695,policies,84.09819030761719
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,25.946292877197266,43.632225036621094,8.958714485168457,84.20164489746094,15.480772972106934,policies,84.20164489746094
lerobot\src\lerobot\utils\io_utils.py,2.4598588943481445,14.996593475341797,0.0,3.944535493850708,7.33957576751709,datasets,14.996593475341797
lerobot\tests\policies\groot\test_groot_train_random_crop.py,14.755352973937988,9.061928749084473,4.503273010253906,65.26642608642578,11.81987476348877,policies,65.26642608642578
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,32.895233154296875,53.29373550415039,11.1550874710083,82.6739501953125,18.453630447387695,policies,82.6739501953125
lerobot\src\lerobot\motors\robstride\robstride.py,8.209687232971191,18.190425872802734,8.25162410736084,10.195944786071777,19.21932029724121,utilities,19.21932029724121
lerobot\examples\omx\record_grab.py,12.709955215454102,59.19980239868164,5.9930195808410645,5.882153034210205,13.681384086608887,datasets,59.19980239868164
lerobot\src\lerobot\configs\policies.py,82.49571990966797,23.36748695373535,10.904885292053223,89.01297760009766,22.247013092041016,policies,89.01297760009766
lerobot\tests\processor\test_migration_detection.py,96.98582458496094,23.60211181640625,7.649497032165527,32.9671745300293,14.106427192687988,configs,96.98582458496094
lerobot\tests\policies\test_gaussian_actor_policy.py,32.204402923583984,87.05564880371094,9.681546211242676,68.52528381347656,17.073251724243164,datasets,87.05564880371094
lerobot\tests\fixtures\files.py,8.532665252685547,117.60767364501953,8.35403823852539,4.155274868011475,15.515464782714844,datasets,117.60767364501953
lerobot\tests\policies\pi0_pi05\test_pi0.py,27.471294403076172,45.29684829711914,7.876799583435059,88.31640625,10.103092193603516,policies,88.31640625
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,0.0,2.4881529808044434,utilities,2.4881529808044434
lerobot\tests\conftest.py,11.744617462158203,97.0196533203125,7.214560508728027,17.72317123413086,15.108431816101074,datasets,97.0196533203125
lerobot\tests\policies\vla_jepa\conftest.py,23.504592895507812,12.877958297729492,3.6258716583251953,79.34517669677734,8.92606258392334,policies,79.34517669677734
lerobot\src\lerobot\robots\so_follower\so_follower.py,69.35176086425781,11.225028991699219,8.694091796875,8.56417179107666,20.20328140258789,configs,69.35176086425781
lerobot\src\lerobot\robots\openarm_follower\__init__.py,0.0,0.0,0.736594021320343,0.0,0.0,environments,0.736594021320343
lerobot\tests\cameras\test_realsense.py,23.709312438964844,10.729753494262695,4.602942943572998,4.454161643981934,9.517542839050293,configs,23.709312438964844
lerobot\tests\datasets\test_quantiles_dataset_integration.py,3.9660730361938477,114.67776489257812,3.2123332023620605,3.2544538974761963,14.470782279968262,datasets,114.67776489257812
lerobot\tests\policies\test_relative_actions.py,4.912164688110352,101.58934783935547,5.402666091918945,70.10523986816406,13.046197891235352,datasets,101.58934783935547
lerobot\src\lerobot\teleoperators\homunculus\joints_translation.py,0.9220970273017883,0.5456362962722778,0.5456362962722778,2.681295871734619,1.0912725925445557,policies,2.681295871734619
lerobot\src\lerobot\teleoperators\keyboard\teleop_keyboard.py,23.002275466918945,8.873733520507812,54.39049530029297,5.418381690979004,14.152438163757324,environments,54.39049530029297
lerobot\src\lerobot\policies\xvla\action_hub.py,5.917113304138184,8.983328819274902,0.6411842703819275,64.64289855957031,9.424600601196289,policies,64.64289855957031
lerobot\tests\utils\test_hub.py,25.03710174560547,10.622367858886719,6.576072692871094,8.475568771362305,15.504597663879395,configs,25.03710174560547
lerobot\tests\policies\pi0_pi05\test_pi0_original_vs_lerobot.py,25.555328369140625,47.60810089111328,5.162398338317871,87.82099151611328,9.696684837341309,policies,87.82099151611328
lerobot\src\lerobot\robots\koch_follower\config_koch_follower.py,15.535865783691406,6.274821758270264,3.9423811435699463,0.7545028924942017,3.146385908126831,configs,15.535865783691406
lerobot\src\lerobot\annotations\steerable_pipeline\config.py,16.781959533691406,14.853938102722168,6.227207183837891,8.660019874572754,11.18265438079834,configs,16.781959533691406
lerobot\src\lerobot\teleoperators\rebot_102_leader\rebot_102_leader.py,28.914432525634766,14.908243179321289,9.259644508361816,13.134105682373047,25.838268280029297,configs,28.914432525634766
lerobot\src\lerobot\processor\hil_processor.py,19.677536010742188,14.739026069641113,2.3103883266448975,14.182195663452148,9.051138877868652,configs,19.677536010742188
lerobot\src\lerobot\rl\queue.py,0.0,0.0,0.0,0.29603105783462524,0.29603105783462524,policies,0.29603105783462524
lerobot\src\lerobot\processor\newline_task_processor.py,2.0,7.3639373779296875,1.9500458240509033,7.0,0.3772837519645691,datasets,7.3639373779296875
lerobot\src\lerobot\policies\molmoact2\__init__.py,0.7378369569778442,1.3016167879104614,0.7378369569778442,73.58869934082031,3.2140955924987793,policies,73.58869934082031
