file_path,backtest,contrib,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,4.608393669128418,9.676106452941895,18.15692138671875,6.011909008026123,15.041626930236816,10.304764747619629,111.45012664794922,20.25400733947754,17.716108322143555,tests,111.45012664794922
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,6.344006061553955,62.54355239868164,20.490461349487305,9.516940116882324,11.432086944580078,86.04724884033203,7.20217227935791,12.268616676330566,14.551898002624512,strategy,86.04724884033203
qlib\qlib\rl\reward.py,10.12188720703125,4.197549819946289,2.8111016750335693,85.2225112915039,1.0585135221481323,5.225724220275879,1.0012303590774536,5.278863906860352,12.273388862609863,rl,85.2225112915039
qlib\tests\ops\test_special_ops.py,5.855324745178223,8.858994483947754,10.544225692749023,3.2708191871643066,8.42357063293457,10.495923042297363,114.24658966064453,15.69226360321045,13.251052856445312,tests,114.24658966064453
qlib\qlib\contrib\model\pytorch_lstm.py,10.219898223876953,68.15672302246094,117.20643615722656,37.12358093261719,44.942203521728516,28.09711265563965,81.82073974609375,81.30776977539062,36.0506477355957,model,117.20643615722656
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,12.275127410888672,34.901466369628906,86.65763854980469,10.211515426635742,12.577322959899902,17.55322265625,19.992223739624023,26.520187377929688,114.14944458007812,workflow,114.14944458007812
qlib\qlib\workflow\task\collect.py,13.950053215026855,13.833932876586914,23.455583572387695,8.974994659423828,16.953819274902344,18.375768661499023,11.842667579650879,20.0701961517334,122.77171325683594,workflow,122.77171325683594
qlib\qlib\rl\utils\log.py,6.472015380859375,11.955982208251953,16.74774932861328,65.52288055419922,22.053701400756836,18.61797332763672,12.670302391052246,72.97289276123047,30.012474060058594,utils,72.97289276123047
qlib\qlib\backtest\report.py,72.97623443603516,23.3376522064209,38.74573516845703,22.230472564697266,38.78523635864258,41.272438049316406,46.93437194824219,28.457948684692383,38.89231872558594,backtest,72.97623443603516
qlib\qlib\contrib\data\__init__.py,0.06451363861560822,63.07750701904297,2.398397922515869,1.001301884651184,4.06226110458374,2.398397922515869,4.999049186706543,6.7972517013549805,3.730980396270752,contrib,63.07750701904297
qlib\qlib\rl\order_execution\simulator_simple.py,114.87700653076172,12.44221305847168,14.022668838500977,69.707763671875,41.31531524658203,13.528544425964355,13.042801856994629,25.06479263305664,27.238840103149414,backtest,114.87700653076172
qlib\examples\data_demo\data_mem_resuse_demo.py,8.776079177856445,18.264511108398438,21.563867568969727,6.962350845336914,10.68659782409668,13.057271957397461,16.111644744873047,20.6502742767334,121.48480987548828,workflow,121.48480987548828
qlib\qlib\data\cache.py,19.396944046020508,25.697265625,61.459373474121094,79.98553466796875,76.36943054199219,33.68313980102539,32.487770080566406,39.718231201171875,44.50357437133789,rl,79.98553466796875
qlib\qlib\contrib\report\data\ana.py,3.6710970401763916,58.88019561767578,15.826086044311523,3.185295343399048,37.012969970703125,14.991084098815918,11.201556205749512,16.182817459106445,10.955657958984375,contrib,58.88019561767578
qlib\examples\highfreq\highfreq_processor.py,1.094295620918274,8.097735404968262,8.278983116149902,2.3893396854400635,5.101583957672119,5.857807159423828,16.90319061279297,12.066851615905762,8.503580093383789,tests,16.90319061279297
qlib\qlib\contrib\data\processor.py,1.6992156505584717,58.30412292480469,9.96006965637207,2.722540855407715,22.085792541503906,10.177810668945312,10.724820137023926,13.623019218444824,11.782201766967773,contrib,58.30412292480469
qlib\qlib\rl\strategy\__init__.py,2.6915533542633057,5.94570779800415,1.0657309293746948,84.35688781738281,0.06443000584840775,100.89641571044922,1.0013008117675781,5.94570779800415,8.947101593017578,strategy,100.89641571044922
