file_path,dsp,filter_bank,general,mir,best_module,best_likelihood
audioflux\include\hht_algorithm.h,3.6355981826782227,2.1700518131256104,2.5838706493377686,1.1183245182037354,dsp,3.6355981826782227
audioflux\src\vector\flux_vectorOp.h,18.484760284423828,33.5424919128418,2.966978073120117,2.922630786895752,filter_bank,33.5424919128418
audioflux\include\temporal_algorithm.h,3.096261501312256,1.6393963098526,2.0454986095428467,13.286391258239746,mir,13.286391258239746
audioflux\src\dsp\conv_algorithm.h,86.69218444824219,4.732517719268799,10.289875030517578,5.5276079177856445,dsp,86.69218444824219
audioflux\src\mir\timeStretch_algorithm.h,3.1091883182525635,1.6469359397888184,2.0578269958496094,77.47499084472656,mir,77.47499084472656
audioflux\src\reassign_algorithm.c,4.961019515991211,52.15602111816406,8.199718475341797,30.79064178466797,filter_bank,52.15602111816406
audioflux\src\mir\_pitch_yin.c,11.37769889831543,0.8370144367218018,1.5799858570098877,84.11116027832031,mir,84.11116027832031
audioflux\src\filterbank\coef\__coef_d.h,40.11076354980469,45.71665573120117,1.9283006191253662,17.79315757751465,filter_bank,45.71665573120117
audioflux\src\temporal_algorithm.h,3.096261501312256,1.6393963098526,2.0454986095428467,13.286391258239746,mir,13.286391258239746
audioflux\src\dsp\czt_algorithm.c,67.07891082763672,1.9982118606567383,5.272008895874023,5.768460273742676,dsp,67.07891082763672
audioflux\include\dsp\conv_algorithm.h,86.69218444824219,4.732517719268799,10.289875030517578,5.5276079177856445,dsp,86.69218444824219
audioflux\src\mir\_pitch_hps.c,16.282039642333984,0.35099563002586365,1.3020000457763672,69.81635284423828,mir,69.81635284423828
audioflux\src\bft_algorithm.h,4.5633544921875,40.81411361694336,4.514084339141846,2.9962375164031982,filter_bank,40.81411361694336
audioflux\include\util\flux_wave.h,1.4834136962890625,1.4834136962890625,1.4834136962890625,16.110145568847656,mir,16.110145568847656
audioflux\src\filterbank\cqt_filterBank.c,3.85194993019104,116.30360412597656,8.948090553283691,18.092609405517578,filter_bank,116.30360412597656
audioflux\src\fst_algorithm.h,21.29338836669922,1.9313119649887085,2.624047040939331,1.1568362712860107,dsp,21.29338836669922
