file_path,client,prompts,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,18.86177635192871,14.71303939819336,49.11205291748047,66.15227508544922,19.35151481628418,97.03990936279297,utilities,97.03990936279297
fastmcp\tests\deprecated\test_elicitation.py,68.5516128540039,5.414987087249756,10.932632446289062,3.8980791568756104,33.62248992919922,12.107832908630371,client,68.5516128540039
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,68.21269226074219,10.021077156066895,64.60578155517578,58.73991394042969,35.21656036376953,28.231168746948242,client,68.21269226074219
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,32.20693588256836,11.860220909118652,31.957700729370117,69.40687561035156,18.081024169921875,104.34813690185547,utilities,104.34813690185547
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,68.8921890258789,5.067966461181641,51.79158020019531,67.68124389648438,8.201852798461914,37.0463752746582,client,68.8921890258789
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,65.52330780029297,0.6704472899436951,2.331069231033325,57.08082962036133,2.752232789993286,22.414777755737305,client,65.52330780029297
fastmcp\examples\testing_demo\server.py,19.784900665283203,60.509613037109375,42.20673370361328,58.06159210205078,31.552133560180664,15.181163787841797,prompts,60.509613037109375
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,13.466160774230957,153.67697143554688,129.72410583496094,62.508609771728516,110.31366729736328,43.11040496826172,prompts,153.67697143554688
fastmcp\examples\desktop.py,9.326044082641602,4.681787490844727,42.63172149658203,5.089125633239746,26.763473510742188,6.939727306365967,resources,42.63172149658203
fastmcp\tests\cli\test_mcp_server_config_integration.py,72.90836334228516,9.073311805725098,64.68611907958984,64.8951187133789,31.907583236694336,35.65310287475586,client,72.90836334228516
fastmcp\tests\server\middleware\test_rate_limiting.py,76.70091247558594,5.394203186035156,12.993967056274414,66.41602325439453,41.672119140625,15.560898780822754,client,76.70091247558594
fastmcp\tests\tools\tool_transform\test_args.py,75.55362701416016,15.395525932312012,25.556947708129883,11.724717140197754,144.4110565185547,30.734094619750977,tools,144.4110565185547
fastmcp\tests\server\test_dependencies_advanced.py,74.48785400390625,60.013153076171875,62.75031280517578,59.53459548950195,111.3449935913086,27.956809997558594,tools,111.3449935913086
fastmcp\examples\diagnostics\client_with_tracing.py,70.70697021484375,148.41030883789062,139.41921997070312,63.94643020629883,107.14739227294922,30.448041915893555,prompts,148.41030883789062
fastmcp\fastmcp_slim\fastmcp\server\providers\filesystem_discovery.py,16.493633270263672,65.87786865234375,76.29505920410156,61.053226470947266,58.40119552612305,45.75253677368164,resources,76.29505920410156
fastmcp\examples\atproto_mcp\demo.py,85.76924896240234,18.90514373779297,112.05105590820312,63.781795501708984,99.34490966796875,39.0807991027832,resources,112.05105590820312
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,89.66275024414062,89.0946044921875,102.40243530273438,85.8734359741211,99.24311065673828,65.31085968017578,resources,102.40243530273438
fastmcp\tests\server\test_logging.py,15.074769973754883,7.626075267791748,9.419562339782715,70.7035140991211,7.372541904449463,18.775880813598633,server,70.7035140991211
fastmcp\tests\client\client\test_mode_negotiation.py,84.99970245361328,8.174833297729492,16.471025466918945,62.36750411987305,37.42387390136719,21.227567672729492,client,84.99970245361328
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,18.53553009033203,11.584665298461914,21.84212303161621,68.54800415039062,32.85383224487305,22.62279510498047,server,68.54800415039062
