file_path,dns,general,http_general,httpserver,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\coro\test\HttpWtUpstreamTests.cpp,1.000394582748413,7.794624328613281,50.5855827331543,6.09115743637085,3.452777164056897E-4,5.406304836273193,60.478057861328125,133.0413055419922,transport,133.0413055419922
proxygen\proxygen\lib\http\codec\test\CodecUtilTests.cpp,20.801794052124023,3.1574203968048096,48.702491760253906,4.241356372833252,3.8112676702439785E-4,2.8283908367156982,18.705490112304688,1.1714091300964355,http_general,48.702491760253906
proxygen\proxygen\lib\http\structuredheaders\StructuredFields.h,14.529388427734375,3.432147264480591,46.228694915771484,3.799901247024536,3.782313724514097E-4,1.9526846408843994,13.839272499084473,0.28872883319854736,http_general,46.228694915771484
proxygen\proxygen\httpserver\samples\hq\HQClient.cpp,32.07325744628906,9.260905265808105,48.910064697265625,77.76913452148438,1.5715031623840332,11.318281173706055,14.02580451965332,82.90040588378906,transport,82.90040588378906
proxygen\proxygen\lib\http\HTTPMethod.h,1.0005372762680054,1.2786872386932373,48.99005126953125,3.9188692569732666,4.700851859524846E-4,1.4045801162719727,1.4147645235061646,0.41779589653015137,http_general,48.99005126953125
proxygen\proxygen\httpclient\samples\curl\CurlClient.h,1.0005767345428467,1.44819176197052,44.6980094909668,4.394950866699219,5.046695587225258E-4,1.0350258350372314,48.8771858215332,5.046695587225258E-4,ssl,48.8771858215332
proxygen\proxygen\lib\http\coro\HTTPEvents.h,1.000496506690979,3.7511038780212402,48.236602783203125,3.3815715312957764,4.34493413195014E-4,2.4693825244903564,1.1429264545440674,4.29961633682251,http_general,48.236602783203125
proxygen\proxygen\lib\http\observer\HTTPTransactionObserverContainer.h,1.000535011291504,1.2766118049621582,48.90814208984375,3.9166336059570312,4.6817641123197973E-4,1.398045301437378,0.20710772275924683,0.41468361020088196,http_general,48.90814208984375
proxygen\proxygen\lib\pools\generators\ServerListGenerator.h,2.4051098823547363,0.9695155620574951,0.32344362139701843,6.090624809265137,4.0765077574178576E-4,1.7195439338684082,0.0,4.0765077574178576E-4,httpserver,6.090624809265137
proxygen\proxygen\lib\http\coro\filters\VisitorFilter.h,1.0005323886871338,2.175567150115967,49.34836196899414,3.5476553440093994,4.6581216156482697E-4,1.7588090896606445,1.2051960229873657,0.4108578562736511,http_general,49.34836196899414
