file_path,app,backends,bin,concurrency,contrib,events,fixups,security,utils,worker,best_module,best_likelihood
celery\t\integration\worker_config.py,8.787238121032715,4.05128288269043,11.877965927124023,3.511812210083008,9.279802322387695,4.228070259094238,4.986095905303955,1.0008935928344727,4.6839599609375,97.15774536132812,worker,97.15774536132812
celery\t\unit\backends\test_base.py,114.47869110107422,174.15670776367188,113.863037109375,28.872026443481445,24.140832901000977,26.944393157958984,18.34397315979004,66.99366760253906,39.867794036865234,44.10174560546875,backends,174.15670776367188
celery\t\integration\test_connection_recovery.py,58.69975280761719,2.7473559379577637,5.696633338928223,3.781522274017334,11.040255546569824,1.0010650157928467,2.8964717388153076,1.349352478981018,4.7975592613220215,2.9272940158843994,app,58.69975280761719
celery\t\integration\test_tasks.py,94.34576416015625,89.17082977294922,117.24248504638672,34.93825149536133,35.657222747802734,36.597652435302734,8.295143127441406,13.631872177124023,42.467864990234375,124.67703247070312,worker,124.67703247070312
celery\t\unit\tasks\test_states.py,7.471182346343994,5.70120906829834,13.154531478881836,4.172069549560547,8.918853759765625,12.75674819946289,1.808488368988037,3.0868539810180664,3.5689101219177246,10.793680191040039,bin,13.154531478881836
celery\t\unit\utils\test_collections.py,52.37735366821289,5.667052745819092,155.3186492919922,8.753890991210938,13.996076583862305,4.8388824462890625,7.326236248016357,8.481264114379883,70.14872741699219,19.377490997314453,bin,155.3186492919922
celery\t\unit\bin\proj\app2.py,47.961669921875,0.0,99.16194152832031,0.6683458685874939,1.0009167194366455,1.0009167194366455,1.0009167194366455,1.0009167194366455,2.671428918838501,1.0009167194366455,bin,99.16194152832031
celery\t\unit\security\__init__.py,3.102055072784424,1.2389847040176392,3.893096685409546,1.0683931112289429,2.6760945320129395,2.0692975521087646,2.0692975521087646,129.9753875732422,3.668178081512451,2.1011505126953125,security,129.9753875732422
celery\t\smoke\tests\quorum_queues\test_default_queue_type.py,78.14582824707031,13.25494384765625,21.0578556060791,5.101011276245117,12.930373191833496,6.550294876098633,1.6204452514648438,6.789853572845459,8.338912010192871,109.16364288330078,worker,109.16364288330078
celery\t\unit\utils\test_nodenames.py,2.8597073554992676,5.430928707122803,9.526021957397461,1.5657901763916016,5.55656099319458,2.8707659244537354,1.0009034872055054,4.501575469970703,88.7088394165039,72.91358184814453,utils,88.7088394165039
celery\celery\apps\multi.py,73.65645599365234,36.4875602722168,80.84490203857422,5.900213718414307,9.668867111206055,12.981971740722656,4.500514030456543,3.5362770557403564,46.882999420166016,84.83330535888672,worker,84.83330535888672
celery\t\unit\fixups\__init__.py,2.1749229431152344,0.1730874627828598,3.1758406162261963,0.0,1.174005150794983,1.000917673110962,141.13821411132812,1.000917673110962,1.174005150794983,1.174005150794983,fixups,141.13821411132812
celery\t\unit\backends\test_s3.py,75.58981323242188,146.07997131347656,11.839789390563965,4.432989597320557,9.194750785827637,13.060787200927734,8.043549537658691,11.655488014221191,16.30734634399414,8.76810073852539,backends,146.07997131347656
celery\examples\celery_http_gateway\settings.py,75.43495178222656,139.10052490234375,19.74228858947754,4.791625022888184,123.24369812011719,6.9214324951171875,9.341386795043945,10.807062149047852,41.40725326538086,23.92949867248535,backends,139.10052490234375
celery\t\unit\tasks\unit_tasks.py,6.144681453704834,4.142862319946289,9.256800651550293,4.142862319946289,3.6703805923461914,1.0009095668792725,1.0009095668792725,3.072340726852417,3.787534236907959,7.235092639923096,bin,9.256800651550293
celery\celery\bin\base.py,78.320068359375,19.820592880249023,129.4239501953125,10.035213470458984,15.173799514770508,13.485681533813477,10.102474212646484,15.833377838134766,23.094411849975586,46.35104751586914,bin,129.4239501953125
celery\t\unit\tasks\test_stamping.py,81.14630126953125,29.627750396728516,98.35590362548828,9.697325706481934,24.94509506225586,8.112404823303223,5.603923320770264,8.260252952575684,12.97425651550293,20.795120239257812,bin,98.35590362548828
celery\t\unit\events\test_cursesmon.py,66.09716796875,6.224287986755371,84.68788146972656,6.341158866882324,8.9385986328125,93.14934539794922,2.5738699436187744,3.5584940910339355,11.089713096618652,77.91633605957031,events,93.14934539794922
celery\celery\bin\celery.py,98.96448516845703,69.2871322631836,164.7018280029297,18.489330291748047,50.974159240722656,112.68572998046875,19.75626564025879,12.648721694946289,36.637535095214844,130.7506561279297,bin,164.7018280029297
celery\celery\worker\state.py,59.802433013916016,14.252972602844238,31.81525421142578,7.595755577087402,10.967791557312012,26.422780990600586,5.001848220825195,5.566257953643799,21.17498207092285,91.04533386230469,worker,91.04533386230469
celery\t\smoke\tests\failover\test_worker_failover.py,68.45877075195312,13.568044662475586,17.436120986938477,4.4735517501831055,10.917149543762207,8.248992919921875,1.6707584857940674,3.6293857097625732,8.688825607299805,100.07393646240234,worker,100.07393646240234
celery\t\unit\bin\test_control.py,74.48717498779297,15.05566120147705,150.9492645263672,8.973755836486816,73.38980102539062,117.23817443847656,4.893462181091309,9.061524391174316,18.221670150756836,103.54861450195312,bin,150.9492645263672
celery\t\smoke\tests\test_control.py,65.00064849853516,4.009177207946777,15.619939804077148,2.338205099105835,63.819034576416016,13.297338485717773,4.681131362915039,2.734604597091675,7.953125953674316,83.82894134521484,worker,83.82894134521484
