file_path,backtest,contrib,data,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,5.209280490875244,58.2281494140625,17.65452003479004,9.404363632202148,10.937054634094238,84.27680969238281,7.443924903869629,10.269105911254883,20.656591415405273,strategy,84.27680969238281
qlib\qlib\rl\reward.py,7.501636505126953,3.331927537918091,1.3281861543655396,90.44818115234375,0.0,1.7544368505477905,0.0,4.374569416046143,12.335664749145508,rl,90.44818115234375
qlib\qlib\contrib\model\pytorch_lstm.py,5.9763689041137695,68.81784057617188,93.65068054199219,40.57832717895508,43.0426139831543,22.73680877685547,91.82560729980469,73.23780059814453,52.24893569946289,data,93.65068054199219
qlib\qlib\workflow\task\collect.py,7.547471523284912,11.329771041870117,14.373197555541992,9.291739463806152,22.0656795501709,14.29072093963623,10.870989799499512,17.296924591064453,149.8252410888672,workflow,149.8252410888672
qlib\qlib\rl\utils\log.py,3.8546106815338135,13.142729759216309,54.83986282348633,70.02484893798828,22.39508628845215,13.570147514343262,11.341714859008789,67.36060333251953,39.38736343383789,rl,70.02484893798828
qlib\qlib\backtest\report.py,63.78797912597656,19.39651870727539,109.04049682617188,23.977510452270508,35.76215362548828,25.171167373657227,51.6737060546875,28.662355422973633,47.01210403442383,data,109.04049682617188
qlib\qlib\contrib\data\__init__.py,0.0,57.72470474243164,66.71148681640625,0.0,4.169467926025391,0.0,4.169467926025391,5.788233757019043,6.9994587898254395,data,66.71148681640625
qlib\qlib\rl\order_execution\simulator_simple.py,108.04438018798828,11.779300689697266,94.13700103759766,71.49897003173828,39.2017936706543,4.929234981536865,11.822301864624023,21.642993927001953,32.917598724365234,backtest,108.04438018798828
qlib\qlib\data\cache.py,15.313411712646484,24.577495574951172,129.80506896972656,87.26254272460938,77.96395111083984,27.216785430908203,33.80643844604492,39.27887725830078,70.64612579345703,data,129.80506896972656
qlib\qlib\contrib\report\data\ana.py,2.3314242362976074,57.25823974609375,75.79539489746094,5.26024866104126,36.0008544921875,10.019962310791016,11.183786392211914,11.652997970581055,16.49695587158203,data,75.79539489746094
qlib\qlib\contrib\data\processor.py,2.477681875228882,56.681610107421875,79.08021545410156,4.457415580749512,22.234302520751953,6.4318389892578125,11.911191940307617,10.783697128295898,19.615047454833984,data,79.08021545410156
qlib\qlib\rl\strategy\__init__.py,2.6049113273620605,5.010282516479492,0.0,89.49335479736328,0.0,96.38172149658203,0.0,5.010282516479492,5.260105609893799,strategy,96.38172149658203
qlib\qlib\rl\data\pickle_styled.py,103.31329345703125,13.391865730285645,109.91136169433594,71.52220153808594,29.966466903686523,4.8069353103637695,13.458649635314941,23.163402557373047,43.34125900268555,data,109.91136169433594
