file_path,backtest,contrib,data,model,rl,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,5.218883514404297,9.695267677307129,85.03660583496094,10.774847030639648,6.802454948425293,6.345532417297363,107.81453704833984,16.193620681762695,22.187007904052734,tests,107.81453704833984
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,5.649245738983154,62.30741882324219,16.384471893310547,16.316287994384766,10.392236709594727,85.47206115722656,7.32025146484375,10.974434852600098,21.195772171020508,strategy,85.47206115722656
qlib\qlib\rl\reward.py,8.475139617919922,4.197549819946289,1.3920254707336426,1.752588152885437,87.36031341552734,2.9482221603393555,1.0012303590774536,5.278863906860352,14.547369003295898,rl,87.36031341552734
qlib\tests\ops\test_special_ops.py,6.158468246459961,9.922706604003906,82.52293395996094,4.831445693969727,4.645816326141357,9.630163192749023,110.12387084960938,12.681365013122559,22.380538940429688,tests,110.12387084960938
qlib\qlib\contrib\model\pytorch_lstm.py,6.9362406730651855,72.45962524414062,90.11287689208984,100.48499298095703,39.63429641723633,23.703027725219727,79.68511199951172,76.98261260986328,54.55656433105469,model,100.48499298095703
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,7.851900100708008,31.63397789001465,78.98428344726562,68.36404418945312,10.639455795288086,13.823720932006836,17.68666648864746,22.178146362304688,132.28982543945312,workflow,132.28982543945312
qlib\qlib\workflow\task\collect.py,8.022275924682617,11.968488693237305,12.725255012512207,16.481830596923828,10.232279777526855,15.481101989746094,11.66636848449707,18.012224197387695,146.79403686523438,workflow,146.79403686523438
qlib\qlib\rl\utils\log.py,4.877406120300293,14.331934928894043,54.13062286376953,13.629339218139648,68.49183654785156,14.693111419677734,12.256765365600586,71.33222961425781,42.87189865112305,utils,71.33222961425781
qlib\qlib\backtest\report.py,63.529266357421875,18.860050201416016,100.7082290649414,25.209840774536133,23.66205406188965,26.072080612182617,46.06436538696289,28.662059783935547,45.37717056274414,data,100.7082290649414
qlib\qlib\contrib\data\__init__.py,1.001301884651184,64.41008758544922,63.963958740234375,1.001301884651184,1.001301884651184,1.001301884651184,4.999049186706543,6.7972517013549805,8.730030059814453,contrib,64.41008758544922
qlib\qlib\rl\order_execution\simulator_simple.py,108.21141052246094,12.050382614135742,88.26163482666016,7.432482719421387,70.25474548339844,5.315434455871582,11.391153335571289,23.078704833984375,33.97850799560547,backtest,108.21141052246094
qlib\examples\data_demo\data_mem_resuse_demo.py,5.821967601776123,15.986556053161621,84.98274993896484,6.5714430809021,6.974254608154297,10.774322509765625,14.50676155090332,15.298901557922363,142.19754028320312,workflow,142.19754028320312
qlib\qlib\data\cache.py,12.569931030273438,22.114961624145508,118.35871124267578,45.93092346191406,82.00374603271484,24.82826805114746,30.016939163208008,35.7530403137207,64.7188949584961,data,118.35871124267578
qlib\qlib\contrib\report\data\ana.py,2.2401745319366455,59.614288330078125,72.77668762207031,7.860450267791748,5.373353958129883,9.76523494720459,10.32279109954834,12.026556968688965,16.343795776367188,data,72.77668762207031
qlib\examples\highfreq\highfreq_processor.py,2.0232977867126465,9.783923149108887,73.55130767822266,3.980099678039551,2.099783182144165,3.1360344886779785,14.191437721252441,10.652508735656738,14.686812400817871,data,73.55130767822266
