file_path,cli,client,prompts,server,tools,utilities,best_module,best_likelihood
fastmcp\examples\code_mode\server.py,7.518970012664795,11.638306617736816,2.220182180404663,51.399749755859375,26.71807289123535,8.154753684997559,server,51.399749755859375
fastmcp\examples\apps\chart_server.py,18.805910110473633,16.98052215576172,5.295151710510254,57.70594024658203,31.953214645385742,7.406170845031738,server,57.70594024658203
fastmcp\tests\conformance\test_conformance.py,23.79110336303711,17.782543182373047,4.309406757354736,57.01066589355469,8.959494590759277,16.195323944091797,server,57.01066589355469
fastmcp\tests\server\http\test_session_idle_timeout.py,41.941558837890625,74.20999145507812,3.4931981563568115,57.53852844238281,62.3327522277832,12.139257431030273,client,74.20999145507812
fastmcp\tests\server\auth\test_auth_provider.py,65.5521011352539,74.17662811279297,3.5676677227020264,62.52458190917969,7.01751708984375,13.54963207244873,client,74.17662811279297
fastmcp\fastmcp_slim\fastmcp\client\transports\inference.py,47.366641998291016,60.27275466918945,2.581303834915161,50.728641510009766,12.46251392364502,6.778566360473633,client,60.27275466918945
fastmcp\examples\in_memory_proxy_example.py,57.304378509521484,74.35211181640625,3.456770420074463,54.282554626464844,90.1324462890625,9.381199836730957,tools,90.1324462890625
fastmcp\tests\server\tasks\test_progress_dependency.py,52.631622314453125,72.69900512695312,2.1065597534179688,49.461055755615234,28.53208351135254,7.223536014556885,client,72.69900512695312
fastmcp\fastmcp_slim\fastmcp\utilities\inspect.py,56.582725524902344,71.46170043945312,153.91793823242188,65.56329345703125,91.80424499511719,83.8089599609375,prompts,153.91793823242188
fastmcp\tests\client\client\test_client.py,64.34529876708984,84.35712432861328,140.6237335205078,73.01570129394531,93.22517395019531,24.068862915039062,prompts,140.6237335205078
fastmcp\tests\integration_tests\test_timeout_fix.py,50.56279373168945,61.35353088378906,0.5035145282745361,52.88710021972656,25.71352767944336,9.051437377929688,client,61.35353088378906
fastmcp\tests\server\transforms\test_prompts_as_tools.py,53.25075149536133,75.15836334228516,148.806640625,54.907047271728516,91.93572235107422,15.340110778808594,prompts,148.806640625
fastmcp\fastmcp_slim\fastmcp\utilities\openapi\parser.py,15.12197494506836,22.513477325439453,10.421847343444824,6.28639554977417,32.97980880737305,98.41561889648438,utilities,98.41561889648438
fastmcp\tests\apps\test_choice.py,17.230154037475586,11.351829528808594,51.64863967895508,55.664154052734375,91.44612121582031,9.956340789794922,tools,91.44612121582031
fastmcp\tests\server\mount\test_prompts.py,5.355038166046143,8.344449996948242,145.13194274902344,51.43174362182617,1.4406510591506958,3.8077635765075684,prompts,145.13194274902344
fastmcp\tests\server\providers\local_provider_tools\test_decorator.py,19.402950286865234,16.2266845703125,5.24185848236084,47.9384765625,95.1047592163086,21.30021858215332,tools,95.1047592163086
fastmcp\tests\server\auth\providers\test_discord.py,58.649139404296875,71.59416198730469,2.7284908294677734,57.56114959716797,5.143396854400635,11.32437801361084,client,71.59416198730469
fastmcp\tests\server\tasks\test_task_status_notifications.py,53.282508850097656,68.87462615966797,53.17693328857422,56.366302490234375,27.83359718322754,9.021283149719238,client,68.87462615966797
fastmcp\fastmcp_slim\fastmcp\server\auth\jwt_issuer.py,67.47928619384766,77.04246520996094,1.1852943897247314,47.33115005493164,8.80850601196289,14.027850151062012,client,77.04246520996094
