file_path,backtest,contrib,data,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,5.061618328094482,10.129331588745117,84.76569366455078,6.011909008026123,15.494851112365723,10.757989883422852,111.45012664794922,20.25400733947754,17.716108322143555,tests,111.45012664794922
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,6.344006061553955,62.1429557800293,16.35146141052246,9.116342544555664,11.031488418579102,86.11144256591797,6.801574230194092,12.268616676330566,14.151299476623535,strategy,86.11144256591797
qlib\qlib\rl\reward.py,10.12188720703125,4.197549819946289,1.0585135221481323,85.2225112915039,1.0585135221481323,4.9287333488464355,1.0012303590774536,5.278863906860352,12.273388862609863,rl,85.2225112915039
qlib\tests\ops\test_special_ops.py,5.855324745178223,9.852654457092285,78.96724700927734,3.2708191871643066,9.237488746643066,11.784147262573242,113.28882598876953,15.69226360321045,13.251052856445312,tests,113.28882598876953
qlib\qlib\contrib\model\pytorch_lstm.py,10.410177230834961,68.34700775146484,78.67536163330078,37.12358093261719,45.13248062133789,28.622201919555664,81.82073974609375,81.30776977539062,36.0506477355957,tests,81.82073974609375
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,12.275127410888672,34.26253128051758,78.4659194946289,8.96036148071289,12.658764839172363,17.09684181213379,18.741071701049805,26.520187377929688,113.69306182861328,workflow,113.69306182861328
qlib\qlib\workflow\task\collect.py,13.950053215026855,13.833932876586914,15.95287799835205,9.424919128417969,17.131343841552734,18.375768661499023,12.292591094970703,20.0701961517334,122.77171325683594,workflow,122.77171325683594
qlib\qlib\rl\utils\log.py,6.472015380859375,11.955982208251953,48.844566345214844,65.52288055419922,21.540571212768555,18.412303924560547,12.670302391052246,72.69945526123047,30.012474060058594,utils,72.69945526123047
qlib\qlib\backtest\report.py,72.97623443603516,23.039749145507812,99.62197875976562,22.230472564697266,38.79802322387695,41.35090637207031,46.93437194824219,28.542343139648438,38.89231872558594,data,99.62197875976562
qlib\qlib\contrib\data\__init__.py,0.06451363861560822,63.07750701904297,58.698143005371094,1.001301884651184,4.06226110458374,2.398397922515869,4.999049186706543,6.7972517013549805,3.730980396270752,contrib,63.07750701904297
qlib\qlib\rl\order_execution\simulator_simple.py,114.87700653076172,12.44221305847168,83.20952606201172,69.707763671875,40.94491195678711,13.528544425964355,13.042801856994629,25.238178253173828,27.238840103149414,backtest,114.87700653076172
qlib\examples\data_demo\data_mem_resuse_demo.py,8.776079177856445,18.264511108398438,82.39839172363281,7.471787929534912,11.80472469329834,13.057271957397461,16.621082305908203,20.6502742767334,121.48480987548828,workflow,121.48480987548828
qlib\qlib\data\cache.py,19.396944046020508,24.718904495239258,115.91080474853516,80.43141174316406,77.10734558105469,33.57455825805664,31.99105453491211,39.68817138671875,44.38479995727539,data,115.91080474853516
qlib\qlib\contrib\report\data\ana.py,3.6710970401763916,58.61784744262695,68.60887145996094,2.922945737838745,36.527008056640625,16.016246795654297,10.93920612335205,16.10031509399414,11.421751976013184,data,68.60887145996094
qlib\examples\highfreq\highfreq_processor.py,1.5525885820388794,8.556028366088867,67.83018493652344,2.3893396854400635,5.559876918792725,6.316100120544434,15.879180908203125,12.066851615905762,8.503580093383789,data,67.83018493652344
qlib\qlib\contrib\data\processor.py,1.6992156505584717,58.30412292480469,68.64310455322266,2.722540855407715,22.085792541503906,10.177810668945312,10.724820137023926,13.403257369995117,11.782201766967773,data,68.64310455322266
qlib\qlib\rl\strategy\__init__.py,2.6915533542633057,5.94570779800415,0.06443000584840775,84.35688781738281,0.06443000584840775,100.89641571044922,1.0013008117675781,5.94570779800415,8.947101593017578,strategy,100.89641571044922
qlib\scripts\get_data.py,4.465599060058594,6.4091997146606445,63.676841735839844,3.0557069778442383,12.84147834777832,6.037913799285889,7.048300743103027,13.233268737792969,7.304598331451416,data,63.676841735839844
qlib\qlib\rl\data\pickle_styled.py,107.68804168701172,14.644488334655762,96.001953125,71.25147247314453,29.422883987426758,16.766109466552734,15.11606216430664,26.529094696044922,34.691490173339844,backtest,107.68804168701172
qlib\tests\misc\test_sepdf.py,1.2500728368759155,6.045920372009277,57.722774505615234,1.5675376653671265,4.960833549499512,4.390134811401367,108.3846435546875,14.14575481414795,8.293794631958008,tests,108.3846435546875
qlib\qlib\model\riskmodel\base.py,7.023838996887207,18.22571563720703,57.72773361206055,5.055959224700928,27.229768753051758,12.376872062683105,11.94734001159668,19.378673553466797,25.154104232788086,data,57.72773361206055
qlib\tests\rl\test_finite_env.py,5.004547119140625,10.111248016357422,53.90409851074219,64.66605377197266,29.43595314025879,9.385263442993164,106.45791625976562,13.019206047058105,23.749582290649414,tests,106.45791625976562
qlib\qlib\contrib\torch.py,0.0,61.64734649658203,62.752052307128906,1.001240611076355,4.2785491943359375,2.4274237155914307,6.254482746124268,7.223929405212402,5.2436370849609375,data,62.752052307128906
qlib\qlib\backtest\account.py,85.68367767333984,14.781033515930176,59.63569259643555,15.560948371887207,32.03798294067383,31.290945053100586,15.37941837310791,15.355754852294922,33.26247787475586,backtest,85.68367767333984
qlib\qlib\rl\order_execution\interpreter.py,3.8860297203063965,8.804502487182617,80.96257019042969,68.91365051269531,47.447608947753906,7.8744611740112305,9.936198234558105,19.99869728088379,18.67064666748047,data,80.96257019042969
qlib\qlib\contrib\model\pytorch_gats.py,11.55321216583252,67.82771301269531,100.31621551513672,37.26697540283203,54.01984405517578,32.15216064453125,81.27940368652344,81.29891967773438,38.589439392089844,data,100.31621551513672
qlib\tests\model\test_general_nn.py,6.013315677642822,75.18415069580078,79.24325561523438,5.563695430755615,21.943416595458984,14.069430351257324,148.35360717773438,22.521364212036133,21.285085678100586,tests,148.35360717773438
qlib\qlib\backtest\utils.py,80.20045471191406,11.804059028625488,72.40036010742188,5.3127617835998535,56.204410552978516,16.753538131713867,15.174514770507812,82.83698272705078,15.01490592956543,utils,82.83698272705078
qlib\qlib\contrib\model\pytorch_adarnn.py,16.799196243286133,65.49269104003906,106.59130096435547,46.935035705566406,60.11083221435547,31.941022872924805,74.04130554199219,87.8953628540039,43.307708740234375,data,106.59130096435547
qlib\qlib\rl\simulator.py,7.177191257476807,4.758212566375732,1.0620956420898438,82.67732238769531,1.0620956420898438,2.7082715034484863,1.00127375125885,5.015395164489746,8.086847305297852,rl,82.67732238769531
qlib\qlib\contrib\tuner\pipeline.py,110.11360931396484,67.97309112548828,81.81351470947266,6.098150730133057,64.98507690429688,13.43340015411377,35.734535217285156,25.6064395904541,42.25920486450195,backtest,110.11360931396484
qlib\qlib\contrib\model\catboost_model.py,7.936158180236816,68.60152435302734,72.34944915771484,7.966554164886475,14.709259986877441,17.792686462402344,77.28826904296875,19.159486770629883,29.98464584350586,tests,77.28826904296875
qlib\qlib\contrib\eva\alpha.py,2.8593108654022217,60.566314697265625,61.980472564697266,4.549408435821533,20.43540382385254,8.959671020507812,9.236461639404297,18.200342178344727,8.68398380279541,data,61.980472564697266
qlib\scripts\collect_info.py,7.930725574493408,8.274600982666016,20.693830490112305,10.222366333007812,14.334320068359375,8.33454704284668,7.22439432144165,15.343439102172852,8.013835906982422,data,20.693830490112305
